Sexo;Provincias;Municipios;Nacionalidad;Edad (grandes grupos);Periodo;Total
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2022;83.547
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2021;82.842
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2020;84.667
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2019;83.337
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2018;82.599
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2017;83.252
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2016;84.213
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2015;88.447
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2014;91.415
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2013;105.205
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2012;103.720
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2011;102.136
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2010;101.091
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2009;101.792
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2008;101.381
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2007;94.006
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2006;92.034
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2005;84.348
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2004;75.530
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2003;77.943
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2022;11.753
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2021;11.801
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2020;12.253
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2019;12.224
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2018;12.254
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2017;12.398
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2016;12.536
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2015;12.899
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2014;12.858
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2013;13.573
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2012;13.487
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2011;13.621
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2010;13.692
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2009;13.915
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2008;13.963
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2007;12.958
Total;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2006;12.396
