Municipios;Sexo;Periodo;Total
03133 Torrevieja;Hombres;1996;17709
03133 Torrevieja;Hombres;1997;18300
03133 Torrevieja;Hombres;1998;18890
03133 Torrevieja;Hombres;1999;20906
03133 Torrevieja;Hombres;2000;24782
03133 Torrevieja;Hombres;2001;29297
03133 Torrevieja;Hombres;2002;35186
03133 Torrevieja;Hombres;2003;39515
03133 Torrevieja;Hombres;2004;38709
03133 Torrevieja;Hombres;2005;43440
03133 Torrevieja;Hombres;2006;47714
03133 Torrevieja;Hombres;2007;48362
03133 Torrevieja;Hombres;2008;52035
03133 Torrevieja;Hombres;2009;51781
03133 Torrevieja;Hombres;2010;51161
03133 Torrevieja;Hombres;2011;51446
03133 Torrevieja;Hombres;2012;52271
03133 Torrevieja;Hombres;2013;53027
03133 Torrevieja;Hombres;2014;46089
03133 Torrevieja;Hombres;2015;44526
03133 Torrevieja;Hombres;2016;42302
03133 Torrevieja;Hombres;2017;41527
03133 Torrevieja;Hombres;2018;41038
03133 Torrevieja;Hombres;2019;41269
03133 Torrevieja;Hombres;2020;41717
03133 Torrevieja;Hombres;2021;40721
03133 Torrevieja;Hombres;2022;41023
03133 Torrevieja;Hombres;2023;43252
03133 Torrevieja;Hombres;2024;46076
03133 Torrevieja;Hombres;2025;48266
03133 Torrevieja;Mujeres;1996;18289
03133 Torrevieja;Mujeres;1997;18868
03133 Torrevieja;Mujeres;1998;19446
03133 Torrevieja;Mujeres;1999;21372
03133 Torrevieja;Mujeres;2000;25407
03133 Torrevieja;Mujeres;2001;29531
03133 Torrevieja;Mujeres;2002;34577
03133 Torrevieja;Mujeres;2003;38428
03133 Torrevieja;Mujeres;2004;36821
03133 Torrevieja;Mujeres;2005;40908
03133 Torrevieja;Mujeres;2006;44320
03133 Torrevieja;Mujeres;2007;45644
03133 Torrevieja;Mujeres;2008;49346
03133 Torrevieja;Mujeres;2009;50011
03133 Torrevieja;Mujeres;2010;49930
03133 Torrevieja;Mujeres;2011;50690
03133 Torrevieja;Mujeres;2012;51449
03133 Torrevieja;Mujeres;2013;52178
03133 Torrevieja;Mujeres;2014;45326
03133 Torrevieja;Mujeres;2015;43921
03133 Torrevieja;Mujeres;2016;41911
03133 Torrevieja;Mujeres;2017;41725
03133 Torrevieja;Mujeres;2018;41561
03133 Torrevieja;Mujeres;2019;42068
03133 Torrevieja;Mujeres;2020;42950
03133 Torrevieja;Mujeres;2021;42121
03133 Torrevieja;Mujeres;2022;42524
03133 Torrevieja;Mujeres;2023;46038
03133 Torrevieja;Mujeres;2024;48727
03133 Torrevieja;Mujeres;2025;50267
03133 Torrevieja;Total;1996;35998
03133 Torrevieja;Total;1997;37167
03133 Torrevieja;Total;1998;38336
03133 Torrevieja;Total;1999;42278
03133 Torrevieja;Total;2000;50189
03133 Torrevieja;Total;2001;58828
03133 Torrevieja;Total;2002;69763
03133 Torrevieja;Total;2003;77943
03133 Torrevieja;Total;2004;75530
03133 Torrevieja;Total;2005;84348
03133 Torrevieja;Total;2006;92034
03133 Torrevieja;Total;2007;94006
03133 Torrevieja;Total;2008;101381
03133 Torrevieja;Total;2009;101792
03133 Torrevieja;Total;2010;101091
03133 Torrevieja;Total;2011;102136
03133 Torrevieja;Total;2012;103720
03133 Torrevieja;Total;2013;105205
03133 Torrevieja;Total;2014;91415
03133 Torrevieja;Total;2015;88447
03133 Torrevieja;Total;2016;84213
03133 Torrevieja;Total;2017;83252
03133 Torrevieja;Total;2018;82599
03133 Torrevieja;Total;2019;83337
03133 Torrevieja;Total;2020;84667
03133 Torrevieja;Total;2021;82842
03133 Torrevieja;Total;2022;83547
03133 Torrevieja;Total;2023;89290
03133 Torrevieja;Total;2024;94803
03133 Torrevieja;Total;2025;98533
