Periodo;Sexo;Valor
1 de enero de 2002;Total;52712
1 de enero de 2002;Hombres;26484
1 de enero de 2002;Mujeres;26231
1 de enero de 2003;Total;60572
1 de enero de 2003;Hombres;30650
1 de enero de 2003;Mujeres;29919
1 de enero de 2004;Total;67988
1 de enero de 2004;Hombres;34691
1 de enero de 2004;Mujeres;33296
1 de enero de 2005;Total;74095
1 de enero de 2005;Hombres;38036
1 de enero de 2005;Mujeres;36057
1 de enero de 2006;Total;79468
1 de enero de 2006;Hombres;41082
1 de enero de 2006;Mujeres;38386
1 de enero de 2007;Total;84921
1 de enero de 2007;Hombres;43928
1 de enero de 2007;Mujeres;40994
1 de enero de 2008;Total;90164
1 de enero de 2008;Hombres;46372
1 de enero de 2008;Mujeres;43792
1 de enero de 2009;Total;90216
1 de enero de 2009;Hombres;46107
1 de enero de 2009;Mujeres;44110
1 de enero de 2010;Total;88925
1 de enero de 2010;Hombres;45200
1 de enero de 2010;Mujeres;43725
1 de enero de 2011;Total;89353
1 de enero de 2011;Hombres;45160
1 de enero de 2011;Mujeres;44190
1 de enero de 2012;Total;90713
1 de enero de 2012;Hombres;45730
1 de enero de 2012;Mujeres;44984
1 de enero de 2013;Total;91990
1 de enero de 2013;Hombres;46449
1 de enero de 2013;Mujeres;45541
1 de enero de 2014;Total;92987
1 de enero de 2014;Hombres;46933
1 de enero de 2014;Mujeres;46052
1 de enero de 2015;Total;89194
1 de enero de 2015;Hombres;45018
1 de enero de 2015;Mujeres;44177
1 de enero de 2016;Total;90001
1 de enero de 2016;Hombres;45348
1 de enero de 2016;Mujeres;44652
1 de enero de 2017;Total;79405
1 de enero de 2017;Hombres;39715
1 de enero de 2017;Mujeres;39691
1 de enero de 2018;Total;79517
1 de enero de 2018;Hombres;39603
1 de enero de 2018;Mujeres;39916
1 de enero de 2019;Total;80651
1 de enero de 2019;Hombres;39998
1 de enero de 2019;Mujeres;40653
1 de enero de 2020;Total;82283
1 de enero de 2020;Hombres;40600
1 de enero de 2020;Mujeres;41681
1 de enero de 2021;Total;84309
1 de enero de 2021;Hombres;41392
1 de enero de 2021;Mujeres;42917
1 de enero de 2022;Total;83978
1 de enero de 2022;Hombres;41252
1 de enero de 2022;Mujeres;42726
1 de enero de 2023;Total;89729
1 de enero de 2023;Hombres;43566
1 de enero de 2023;Mujeres;46163
1 de enero de 2024;Total;95760
1 de enero de 2024;Hombres;46524
1 de enero de 2024;Mujeres;49236
1 de julio de 2012;Total;91104
1 de julio de 2012;Hombres;46005
1 de julio de 2012;Mujeres;45095
1 de julio de 2013;Total;92340
1 de julio de 2013;Hombres;46623
1 de julio de 2013;Mujeres;45721
1 de julio de 2014;Total;91364
1 de julio de 2014;Hombres;46140
1 de julio de 2014;Mujeres;45222
1 de julio de 2015;Total;89373
1 de julio de 2015;Hombres;45063
1 de julio de 2015;Mujeres;44306
1 de julio de 2016;Total;84582
1 de julio de 2016;Hombres;42474
1 de julio de 2016;Mujeres;42109
1 de julio de 2017;Total;79035
1 de julio de 2017;Hombres;39452
1 de julio de 2017;Mujeres;39582
1 de julio de 2018;Total;79656
1 de julio de 2018;Hombres;39574
1 de julio de 2018;Mujeres;40077
1 de julio de 2019;Total;81421
1 de julio de 2019;Hombres;40282
1 de julio de 2019;Mujeres;41142
1 de julio de 2020;Total;82991
1 de julio de 2020;Hombres;40906
1 de julio de 2020;Mujeres;42083
1 de julio de 2021;Total;83436
1 de julio de 2021;Hombres;41031
1 de julio de 2021;Mujeres;42404
1 de julio de 2022;Total;86861
1 de julio de 2022;Hombres;42388
1 de julio de 2022;Mujeres;44474
1 de julio de 2023;Total;92522
1 de julio de 2023;Hombres;44931
1 de julio de 2023;Mujeres;47590
