fecha;mun_orig;dest;turistas;prov_orig
2019-07-01;Laudio/Llodio;Torrevieja;38;Araba/Álava
2019-07-01;Vitoria-Gasteiz;Torrevieja;730;Araba/Álava
2019-07-01;Albacete;Torrevieja;3222;Albacete
2019-07-01;Almansa;Torrevieja;170;Albacete
2019-07-01;Caudete;Torrevieja;86;Albacete
2019-07-01;Chinchilla de Monte-Aragón;Torrevieja;59;Albacete
2019-07-01;Elche de la Sierra;Torrevieja;38;Albacete
2019-07-01;Fuente-Álamo;Torrevieja;36;Albacete
2019-07-01;Gineta, La;Torrevieja;33;Albacete
2019-07-01;Hellín;Torrevieja;328;Albacete
2019-07-01;Madrigueras;Torrevieja;50;Albacete
2019-07-01;Munera;Torrevieja;32;Albacete
2019-07-01;Pozohondo;Torrevieja;31;Albacete
2019-07-01;Roda, La;Torrevieja;119;Albacete
2019-07-01;Tarazona de la Mancha;Torrevieja;57;Albacete
2019-07-01;Tobarra;Torrevieja;60;Albacete
2019-07-01;Villarrobledo;Torrevieja;239;Albacete
2019-07-01;Pozo Cañada;Torrevieja;39;Albacete
2019-07-01;Almería;Torrevieja;119;Almería
2019-07-01;Pulpí;Torrevieja;30;Almería
2019-07-01;Roquetas de Mar;Torrevieja;66;Almería
2019-07-01;Ávila;Torrevieja;269;Ávila
2019-07-01;Gotarrendura;Torrevieja;213;Ávila
2019-07-01;Badajoz;Torrevieja;35;Badajoz
2019-07-01;Palma;Torrevieja;69;Balears, Illes
2019-07-01;Badalona;Torrevieja;38;Barcelona
2019-07-01;Barcelona;Torrevieja;318;Barcelona
2019-07-01;Hospitalet de Llobregat, L';Torrevieja;56;Barcelona
2019-07-01;Sabadell;Torrevieja;32;Barcelona
2019-07-01;Sant Cugat del Vallès;Torrevieja;32;Barcelona
2019-07-01;Santa Coloma de Gramenet;Torrevieja;70;Barcelona
2019-07-01;Terrassa;Torrevieja;41;Barcelona
2019-07-01;Aranda de Duero;Torrevieja;99;Burgos
2019-07-01;Burgos;Torrevieja;692;Burgos
2019-07-01;Miranda de Ebro;Torrevieja;111;Burgos
2019-07-01;Cáceres;Torrevieja;75;Cáceres
2019-07-01;Plasencia;Torrevieja;32;Cáceres
2019-07-01;Castelló de la Plana;Torrevieja;60;Castellón/Castelló
2019-07-01;Onda;Torrevieja;31;Castellón/Castelló
2019-07-01;Alcázar de San Juan;Torrevieja;219;Ciudad Real
2019-07-01;Almodóvar del Campo;Torrevieja;31;Ciudad Real
2019-07-01;Argamasilla de Alba;Torrevieja;46;Ciudad Real
2019-07-01;Argamasilla de Calatrava;Torrevieja;55;Ciudad Real
2019-07-01;Bolaños de Calatrava;Torrevieja;51;Ciudad Real
2019-07-01;Campo de Criptana;Torrevieja;48;Ciudad Real
2019-07-01;Ciudad Real;Torrevieja;499;Ciudad Real
2019-07-01;Daimiel;Torrevieja;108;Ciudad Real
2019-07-01;Herencia;Torrevieja;71;Ciudad Real
2019-07-01;Malagón;Torrevieja;55;Ciudad Real
2019-07-01;Manzanares;Torrevieja;92;Ciudad Real
2019-07-01;Miguelturra;Torrevieja;100;Ciudad Real
2019-07-01;Pedro Muñoz;Torrevieja;77;Ciudad Real
2019-07-01;Puertollano;Torrevieja;375;Ciudad Real
2019-07-01;Socuéllamos;Torrevieja;86;Ciudad Real
2019-07-01;Solana, La;Torrevieja;66;Ciudad Real
2019-07-01;Tomelloso;Torrevieja;221;Ciudad Real
2019-07-01;Valdepeñas;Torrevieja;130;Ciudad Real
2019-07-01;Villanueva de los Infantes;Torrevieja;31;Ciudad Real
2019-07-01;Córdoba;Torrevieja;107;Córdoba
2019-07-01;Lucena;Torrevieja;33;Córdoba
2019-07-01;Montilla;Torrevieja;31;Córdoba
2019-07-01;Coruña, A;Torrevieja;54;Coruña, A
2019-07-01;Cuenca;Torrevieja;157;Cuenca
2019-07-01;Mesas, Las;Torrevieja;30;Cuenca
2019-07-01;Mota del Cuervo;Torrevieja;38;Cuenca
2019-07-01;San Clemente;Torrevieja;63;Cuenca
2019-07-01;Tarancón;Torrevieja;76;Cuenca
2019-07-01;Girona;Torrevieja;31;Girona
2019-07-01;Baza;Torrevieja;32;Granada
2019-07-01;Granada;Torrevieja;125;Granada
2019-07-01;Alovera;Torrevieja;116;Guadalajara
2019-07-01;Azuqueca de Henares;Torrevieja;274;Guadalajara
2019-07-01;Cabanillas del Campo;Torrevieja;62;Guadalajara
2019-07-01;Casar, El;Torrevieja;84;Guadalajara
2019-07-01;Chiloeches;Torrevieja;34;Guadalajara
2019-07-01;Guadalajara;Torrevieja;391;Guadalajara
2019-07-01;Torrejón del Rey;Torrevieja;30;Guadalajara
2019-07-01;Villanueva de la Torre;Torrevieja;57;Guadalajara
2019-07-01;Irun;Torrevieja;57;Gipuzkoa
2019-07-01;Arrasate/Mondragón;Torrevieja;32;Gipuzkoa
2019-07-01;Pasaia;Torrevieja;32;Gipuzkoa
2019-07-01;Errenteria;Torrevieja;56;Gipuzkoa
2019-07-01;Donostia/San Sebastián;Torrevieja;154;Gipuzkoa
2019-07-01;Lasarte-Oria;Torrevieja;31;Gipuzkoa
2019-07-01;Huelva;Torrevieja;32;Huelva
2019-07-01;Huesca;Torrevieja;46;Huesca
2019-07-01;Jaén;Torrevieja;49;Jaén
2019-07-01;Linares;Torrevieja;31;Jaén
2019-07-01;Úbeda;Torrevieja;33;Jaén
2019-07-01;Bañeza, La;Torrevieja;39;León
2019-07-01;León;Torrevieja;241;León
2019-07-01;Ponferrada;Torrevieja;50;León
2019-07-01;San Andrés del Rabanedo;Torrevieja;58;León
2019-07-01;Villaquilambre;Torrevieja;49;León
2019-07-01;Lleida;Torrevieja;71;Lleida
2019-07-01;Logroño;Torrevieja;233;Rioja, La
2019-07-01;Ajalvir;Torrevieja;40;Madrid
2019-07-01;Álamo, El;Torrevieja;107;Madrid
2019-07-01;Alcalá de Henares;Torrevieja;1815;Madrid
2019-07-01;Alcobendas;Torrevieja;747;Madrid
2019-07-01;Alcorcón;Torrevieja;1757;Madrid
2019-07-01;Algete;Torrevieja;162;Madrid
2019-07-01;Alpedrete;Torrevieja;65;Madrid
2019-07-01;Aranjuez;Torrevieja;463;Madrid
2019-07-01;Arganda del Rey;Torrevieja;662;Madrid
2019-07-01;Arroyomolinos;Torrevieja;268;Madrid
2019-07-01;Becerril de la Sierra;Torrevieja;34;Madrid
2019-07-01;Boadilla del Monte;Torrevieja;192;Madrid
2019-07-01;Brunete;Torrevieja;79;Madrid
2019-07-01;Camarma de Esteruelas;Torrevieja;86;Madrid
2019-07-01;Campo Real;Torrevieja;43;Madrid
2019-07-01;Ciempozuelos;Torrevieja;275;Madrid
2019-07-01;Cobeña;Torrevieja;52;Madrid
2019-07-01;Colmenar de Oreja;Torrevieja;39;Madrid
2019-07-01;Colmenar Viejo;Torrevieja;394;Madrid
2019-07-01;Collado Mediano;Torrevieja;31;Madrid
2019-07-01;Collado Villalba;Torrevieja;361;Madrid
2019-07-01;Coslada;Torrevieja;771;Madrid
2019-07-01;Cubas de la Sagra;Torrevieja;82;Madrid
2019-07-01;Daganzo de Arriba;Torrevieja;73;Madrid
2019-07-01;Escorial, El;Torrevieja;71;Madrid
2019-07-01;Fresno de Torote;Torrevieja;51;Madrid
2019-07-01;Fuenlabrada;Torrevieja;2392;Madrid
2019-07-01;Fuente el Saz de Jarama;Torrevieja;50;Madrid
2019-07-01;Galapagar;Torrevieja;189;Madrid
2019-07-01;Getafe;Torrevieja;1987;Madrid
2019-07-01;Griñón;Torrevieja;100;Madrid
2019-07-01;Guadalix de la Sierra;Torrevieja;45;Madrid
2019-07-01;Guadarrama;Torrevieja;93;Madrid
2019-07-01;Hoyo de Manzanares;Torrevieja;39;Madrid
2019-07-01;Humanes de Madrid;Torrevieja;226;Madrid
2019-07-01;Leganés;Torrevieja;1988;Madrid
2019-07-01;Loeches;Torrevieja;104;Madrid
2019-07-01;Madrid;Torrevieja;17960;Madrid
2019-07-01;Majadahonda;Torrevieja;182;Madrid
2019-07-01;Manzanares el Real;Torrevieja;32;Madrid
2019-07-01;Meco;Torrevieja;118;Madrid
2019-07-01;Mejorada del Campo;Torrevieja;264;Madrid
2019-07-01;Miraflores de la Sierra;Torrevieja;39;Madrid
2019-07-01;Molar, El;Torrevieja;46;Madrid
2019-07-01;Moraleja de Enmedio;Torrevieja;66;Madrid
2019-07-01;Moralzarzal;Torrevieja;80;Madrid
2019-07-01;Morata de Tajuña;Torrevieja;46;Madrid
2019-07-01;Móstoles;Torrevieja;2125;Madrid
2019-07-01;Navalcarnero;Torrevieja;259;Madrid
2019-07-01;Nuevo Baztán;Torrevieja;57;Madrid
2019-07-01;Paracuellos de Jarama;Torrevieja;98;Madrid
2019-07-01;Parla;Torrevieja;1440;Madrid
2019-07-01;Perales de Tajuña;Torrevieja;33;Madrid
2019-07-01;Pinto;Torrevieja;438;Madrid
2019-07-01;Pozuelo de Alarcón;Torrevieja;190;Madrid
2019-07-01;Quijorna;Torrevieja;31;Madrid
2019-07-01;Rivas-Vaciamadrid;Torrevieja;681;Madrid
2019-07-01;Rozas de Madrid, Las;Torrevieja;296;Madrid
2019-07-01;San Agustín del Guadalix;Torrevieja;60;Madrid
2019-07-01;San Fernando de Henares;Torrevieja;506;Madrid
2019-07-01;San Lorenzo de El Escorial;Torrevieja;68;Madrid
2019-07-01;San Martín de la Vega;Torrevieja;151;Madrid
2019-07-01;San Martín de Valdeiglesias;Torrevieja;46;Madrid
2019-07-01;San Sebastián de los Reyes;Torrevieja;709;Madrid
2019-07-01;Serranillos del Valle;Torrevieja;38;Madrid
2019-07-01;Sevilla la Nueva;Torrevieja;59;Madrid
