fecha;turismo_interno;turismo_receptor;turismo_emisor;año;poblacion_base;poblacion_efectiva
2019-07-01;89907;67182.0;2268;2019;80651;235472.0
2019-08-01;127890;76558.0;2998;2019;80651;282101.0
2019-09-01;43201;52157.0;3327;2019;80651;172682.0
2019-10-01;17576;50408.0;2695;2019;80651;145940.0
2019-11-01;14819;31650.0;2494;2019;80651;124626.0
2019-12-01;19240;21874.0;2865;2019;80651;118900.0
2020-01-01;14124;25532.0;3020;2020;82283;118919.0
2020-02-01;16504;23893.0;2201;2020;82283;120479.0
2020-03-01;11707;22859.0;1390;2020;82283;115459.0
2020-04-01;1695;4583.0;267;2020;82283;88294.0
2020-05-01;1961;4132.0;417;2020;82283;87959.0
2020-06-01;12870;4462.0;460;2020;82283;99155.0
2020-07-01;68504;19244.0;1026;2020;82283;169005.0
2020-08-01;110846;29451.0;1314;2020;82283;221266.0
2020-09-01;39523;12932.0;1067;2020;82283;133671.0
2020-10-01;14235;13216.0;1136;2020;82283;108598.0
2020-11-01;4585;9550.0;826;2020;82283;95592.0
2020-12-01;4085;7747.0;1035;2020;82283;93080.0
2021-01-01;3554;6850.0;884;2021;84309;93829.0
2021-02-01;2538;4760.0;661;2021;84309;90946.0
2021-03-01;5110;5590.0;962;2021;84309;94047.0
2021-04-01;6574;7499.0;962;2021;84309;97420.0
2021-05-01;24952;10269.0;1202;2021;84309;118328.0
2021-06-01;45977;16465.0;1389;2021;84309;145362.0
2021-07-01;90217;37665.0;1773;2021;84309;210418.0
2021-08-01;133252;47900.0;2122;2021;84309;263339.0
2021-09-01;44019;34132.0;2119;2021;84309;160341.0
2021-10-01;20090;40057.0;2480;2021;84309;141976.0
2021-11-01;14080;27145.0;1918;2021;84309;123616.0
2021-12-01;17889;15772.0;2209;2021;84309;115761.0
2022-01-01;14836;19339.0;1944;2022;83978;116209.0
2022-02-01;13640;19206.0;1324;2022;83978;115500.0
2022-03-01;12095;27351.0;2086;2022;83978;121338.0
2022-04-01;43488;39340.0;2063;2022;83978;164743.0
2022-05-01;28859;38588.0;2140;2022;83978;149285.0
2022-06-01;36622;40159.0;2406;2022;83978;158353.0
2022-07-01;90144;59501.0;2546;2022;83978;231077.0
2022-08-01;110098;65336.0;2408;2022;83978;257004.0
2022-09-01;36072;47130.0;2846;2022;83978;164334.0
2022-10-01;17027;44425.0;2875;2022;83978;142555.0
2022-11-01;12666;31227.0;2450;2022;83978;125421.0
2022-12-01;16741;21697.0;3130;2022;83978;119286.0
2023-01-01;13409;26701.0;2991;2023;89729;126848.0
2023-02-01;11554;22165.0;2246;2023;89729;121202.0
2023-03-01;16588;29819.0;2693;2023;89729;133443.0
2023-04-01;49790;39254.0;2819;2023;89729;175954.0
2023-05-01;29807;40644.0;2594;2023;89729;157586.0
2023-06-01;30932;42959.0;2955;2023;89729;160665.0
2023-07-01;101127;70789.0;3276;2023;89729;258369.0
2023-08-01;126280;82990.0;3726;2023;89729;295273.0
2023-09-01;40433;54809.0;3593;2023;89729;181378.0
2023-10-01;28238;53610.0;3732;2023;89729;167845.0
2023-11-01;15170;34500.0;3263;2023;89729;136136.0
2023-12-01;23850;26669.0;4349;2023;89729;135899.0
2024-01-01;16791;32656.0;4298;2024;95760;140909.0
2024-02-01;15610;28391.0;3509;2024;95760;136252.0
2024-03-01;35259;36569.0;3609;2024;95760;163979.0
2024-04-01;32707;49437.0;3773;2024;95760;174131.0
2024-05-01;29546;50842.0;3638;2024;95760;172510.0
2024-06-01;34939;54659.0;3817;2024;95760;181541.0
2024-07-01;91328;80148.0;3906;2024;95760;263330.0
2024-08-01;118533;86083.0;4480;2024;95760;295896.0
2024-09-01;45270;58857.0;4694;2024;95760;195193.0
2024-10-01;18636;58955.0;4197;2024;95760;169154.0
2024-11-01;15448;39425.0;3745;2024;95760;146888.0
2024-12-01;20554;32548.0;4736;2024;95760;144126.0
