mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,prov_dest_cod,prov_dest,año,mes_hoja,mun_orig_cod,mun_orig,dest_cod,dest,prov_orig_cod,prov_orig
2019-07,0.0,Total,3133.0,Torrevieja,67182,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,10.0,Total Europa,3133.0,Torrevieja,65658,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,11.0,Total Unión Europea,3133.0,Torrevieja,36612,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,20.0,Total África,3133.0,Torrevieja,653,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,30.0,Total América,3133.0,Torrevieja,507,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,31.0,Total América del Norte,3133.0,Torrevieja,277,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,33.0,Total Sudamérica,3133.0,Torrevieja,227,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,40.0,Total Asia,3133.0,Torrevieja,341,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,102.0,Austria,3133.0,Torrevieja,257,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,103.0,Bélgica,3133.0,Torrevieja,5651,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,104.0,Bulgaria,3133.0,Torrevieja,93,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,107.0,Dinamarca,3133.0,Torrevieja,1565,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,109.0,Finlandia,3133.0,Torrevieja,2195,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,110.0,Francia,3133.0,Torrevieja,4251,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,112.0,Hungria,3133.0,Torrevieja,134,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,113.0,Irlanda,3133.0,Torrevieja,3074,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,114.0,Islandia,3133.0,Torrevieja,484,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,115.0,Italia,3133.0,Torrevieja,356,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,117.0,Luxemburgo,3133.0,Torrevieja,88,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,120.0,Noruega,3133.0,Torrevieja,7538,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,121.0,Países Bajos,3133.0,Torrevieja,1101,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,122.0,Polonia,3133.0,Torrevieja,1145,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,123.0,Portugal,3133.0,Torrevieja,95,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,125.0,Reino Unido,3133.0,Torrevieja,14941,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,126.0,Alemania,3133.0,Torrevieja,3422,3,Alicante/Alacant,2019,m07_2019,,,,,,
2019-07,128.0,Rumania,3133.0,Torrevieja,170,3,Alicante/Alacant,2019,m07_2019,,,,,,
