fecha;pais_orig;mun_dest;turistas
2019-07-01;Total;Torrevieja;67182
2019-07-01;Total Europa;Torrevieja;65658
2019-07-01;Total Unión Europea;Torrevieja;36612
2019-07-01;Total África;Torrevieja;653
2019-07-01;Total América;Torrevieja;507
2019-07-01;Total América del Norte;Torrevieja;277
2019-07-01;Total Sudamérica;Torrevieja;227
2019-07-01;Total Asia;Torrevieja;341
2019-07-01;Austria;Torrevieja;257
2019-07-01;Bélgica;Torrevieja;5651
2019-07-01;Bulgaria;Torrevieja;93
2019-07-01;Dinamarca;Torrevieja;1565
2019-07-01;Finlandia;Torrevieja;2195
2019-07-01;Francia;Torrevieja;4251
2019-07-01;Hungria;Torrevieja;134
2019-07-01;Irlanda;Torrevieja;3074
2019-07-01;Islandia;Torrevieja;484
2019-07-01;Italia;Torrevieja;356
2019-07-01;Luxemburgo;Torrevieja;88
2019-07-01;Noruega;Torrevieja;7538
2019-07-01;Países Bajos;Torrevieja;1101
2019-07-01;Polonia;Torrevieja;1145
2019-07-01;Portugal;Torrevieja;95
2019-07-01;Reino Unido;Torrevieja;14941
2019-07-01;Alemania;Torrevieja;3422
2019-07-01;Rumania;Torrevieja;170
2019-07-01;Suecia;Torrevieja;12171
2019-07-01;Suiza;Torrevieja;633
2019-07-01;Ucrania;Torrevieja;817
2019-07-01;Letonia;Torrevieja;76
2019-07-01;Bielorrusia / belarus;Torrevieja;175
2019-07-01;Estonia;Torrevieja;241
2019-07-01;Lituania;Torrevieja;206
2019-07-01;República Checa;Torrevieja;266
2019-07-01;Eslovaquia;Torrevieja;42
2019-07-01;Rusia;Torrevieja;4431
2019-07-01;Argelia;Torrevieja;441
2019-07-01;Marruecos;Torrevieja;171
2019-07-01;EE.UU.;Torrevieja;213
2019-07-01;Argentina;Torrevieja;39
2019-07-01;Colombia;Torrevieja;91
2019-07-01;Uruguay;Torrevieja;30
2019-07-01;China;Torrevieja;135
2019-07-01;Israel;Torrevieja;37
2019-07-01;Kazajstan;Torrevieja;80
2019-08-01;Total;Torrevieja;76558
2019-08-01;Total Europa;Torrevieja;74458
2019-08-01;Total Unión Europea;Torrevieja;46053
2019-08-01;Total África;Torrevieja;1085
2019-08-01;Total América;Torrevieja;603
2019-08-01;Total América del Norte;Torrevieja;339
2019-08-01;Total Sudamérica;Torrevieja;262
2019-08-01;Total Asia;Torrevieja;378
2019-08-01;Austria;Torrevieja;275
2019-08-01;Bélgica;Torrevieja;6609
2019-08-01;Bulgaria;Torrevieja;146
2019-08-01;Dinamarca;Torrevieja;1345
2019-08-01;Finlandia;Torrevieja;1365
2019-08-01;Francia;Torrevieja;11351
2019-08-01;Hungria;Torrevieja;132
2019-08-01;Irlanda;Torrevieja;3546
2019-08-01;Islandia;Torrevieja;495
2019-08-01;Italia;Torrevieja;652
2019-08-01;Luxemburgo;Torrevieja;177
2019-08-01;Noruega;Torrevieja;5404
2019-08-01;Países Bajos;Torrevieja;1341
2019-08-01;Polonia;Torrevieja;1355
2019-08-01;Portugal;Torrevieja;340
2019-08-01;Reino Unido;Torrevieja;16445
2019-08-01;Alemania;Torrevieja;4770
2019-08-01;Rumania;Torrevieja;196
2019-08-01;Suecia;Torrevieja;11572
2019-08-01;Suiza;Torrevieja;844
2019-08-01;Ucrania;Torrevieja;927
2019-08-01;Letonia;Torrevieja;117
2019-08-01;Bielorrusia / belarus;Torrevieja;214
2019-08-01;Estonia;Torrevieja;258
2019-08-01;Lituania;Torrevieja;193
2019-08-01;República Checa;Torrevieja;251
