Periodo,Total
2019M07,303182
2019M08,421959
2019M09,162446
2019M10,76564
2019M11,64258
2019M12,76650
2020M01,60532
2020M02,67296
2020M03,49641
2020M04,9694
2020M05,9890
2020M06,50265
2020M07,231774
2020M08,363786
2020M09,144763
2020M10,62982
2020M11,24805
2020M12,20831
2021M01,18173
2021M02,13907
2021M03,23718
2021M04,31421
2021M05,94238
2021M06,164835
2021M07,303323
2021M08,438082
2021M09,163240
2021M10,84856
2021M11,59241
2021M12,72949
2022M01,60807
2022M02,55156
2022M03,51616
2022M04,156590
2022M05,109096
2022M06,134707
2022M07,304276
2022M08,366541
2022M09,136665
2022M10,73156
2022M11,55477
2022M12,67483
2023M01,55430
2023M02,48554
2023M03,65269
2023M04,173515
2023M05,108702
2023M06,113827
2023M07,331798
2023M08,411116
2023M09,147028
2023M10,106414
2023M11,60090
2023M12,88429
2024M01,64116
2024M02,59692
2024M03,122893
2024M04,118088
2024M05,122305
2024M06,148300
2024M07,299688
2024M08,383400
2024M09,163428
2024M10,76928
2024M11,63980
2024M12,80914
2025M01,66043
2025M02,59038
2025M03,66270
2025M04,145759
2025M05,109756
2025M06,155657
2025M07,250535
2025M08,329108
2025M09,130969
2025M10,61157
2025M11,61241
2025M12,61023
