cod_municipio;cod_provincia;cp;direccion;dormit_totales;estudio;fecha_alta;habdoble;habindi;municipio;nombre;numplazasdoble;numplazasindi;plazas_totales;provincia;ref_catastral;rural;signatura;superficie;web
99;3;3189.0;AV TORREVIEJA-MONTEZENIA, 2D, Es:2 Pl:00 Pt:01;3;N;22/05/2025;3.0;0.0;ORIHUELA;;6;0;6;ALICANTE/ALACANT;7700112XH9070S0002UR;N;CV-VUT0516632-A;255.00;
99;3;3300.0;AV TORREVIEJA-BALCONES, 150, Es:T Pl:OD Pt:OS;3;N;03/11/2022;3.0;0.0;ORIHUELA;Vivienda 493189-A;6;0;6;ALICANTE/ALACANT;9535319YH9093N0001LZ;N;CV-VUT0493189-A;89.00;
99;3;3300.0;PL PUNTA PRIMA TORREVIEJA, 1, Es:1 Pl:01 Pt:11;2;N;22/08/2023;2.0;0.0;ORIHUELA;Vivienda 501074-A;4;0;4;ALICANTE/ALACANT;0925701YH0002S0082EJ;N;CV-VUT0501074-A;32.00;
99;3;3300.0;PL PUNTA PRIMA TORREVIEJA, 1, Es:1 Pl:01 Pt:13;2;N;26/06/2024;2.0;0.0;ORIHUELA;Vivienda 509632-A;4;0;4;ALICANTE/ALACANT;0925701YH0002S0084TL;N;CV-VUT0509632-A;33.00;
99;3;3300.0;PL PUNTA PRIMA TORREVIEJA, 1, Es:1 Pl:02 Pt:16;2;N;16/02/2021;2.0;0.0;ORIHUELA;Vivienda 485002-A;4;0;4;ALICANTE/ALACANT;0925701YH0002S0087IX;N;CV-VUT0485002-A;35.00;
99;3;3300.0;PL PUNTA PRIMA TORREVIEJA, 1, Es:1 Pl:02 Pt:19;2;N;29/01/2018;2.0;0.0;ORIHUELA;Vivienda 463192-A;4;0;4;ALICANTE/ALACANT;0925701YH0002S0090IX;N;CV-VUT0463192-A;35.00;
99;3;3300.0;PL PUNTA PRIMA TORREVIEJA, 1, Es:1 Pl:02 Pt:20;2;N;25/04/2023;2.0;0.0;ORIHUELA;Vivienda 497275-A;4;0;4;ALICANTE/ALACANT;0925701YH0002S0091OM;N;CV-VUT0497275-A;36.00;
99;3;3300.0;PL PUNTA PRIMA TORREVIEJA, 1, Es:1 Pl:BJ Pt:06;2;N;24/09/2024;2.0;0.0;ORIHUELA;Vivienda 511724-A;4;0;4;ALICANTE/ALACANT;0925701YH0002S0077QG;N;CV-VUT0511724-A;36.00;
99;3;3300.0;UR PAU 20 CIÑUELICA,, Es:4 Pl:+1 Pt:141;2;N;08/08/2025;2.0;0.0;ORIHUELA;Sunset View Punta Prima Torrevieja;4;0;4;ALICANTE/ALACANT;9931502XH9093S0155YS;N;CV-VUT0518073-A;68.00;
121;3;3130.0;CL TORREVIEJA, 21, Es:T Pl:OD Pt:OS;2;N;09/01/2026;2.0;0.0;SANTA POLA;Juan Miguel Morata Romero;4;0;4;ALICANTE/ALACANT;2202106YH1320S0001PU;N;CV-VUT0519717-A;50.00;https://www.airbnb.es/rooms/13154774?check_in=2026-02-10&check_out=2026-02-15&search_mode=regular_search&source_impression_id
121;3;3130.0;CL TORREVIEJA, 22, Es:T Pl:OD Pt:OS;3;N;02/04/2025;2.0;1.0;SANTA POLA;;4;1;5;ALICANTE/ALACANT;2203113YH1320S0001TU;N;CV-VUT0515579-A;38.00;
121;3;3130.0;CL TORREVIEJA, 42, Es:T Pl:OD Pt:OS;1;N;02/05/2023;1.0;0.0;SANTA POLA;Vivienda 497542-A;2;0;2;ALICANTE/ALACANT;2203161YH1320S0001EU;N;CV-VUT0497542-A;36.00;
121;3;3130.0;CL TORREVIEJA, 44, Es:T Pl:OD Pt:OS;2;N;13/05/2023;2.0;0.0;SANTA POLA;Vivienda 498033-A;4;0;4;ALICANTE/ALACANT;2203149YH1320S0001KU;N;CV-VUT0498033-A;54.00;
121;3;3130.0;CL TORREVIEJA, 45, Es:T Pl:OD Pt:OS;1;N;03/07/2024;1.0;0.0;SANTA POLA;Vivienda 509853-A;2;0;2;ALICANTE/ALACANT;2203126YH1320S0001EU;N;CV-VUT0509853-A;38.00;
121;3;3130.0;CL TORREVIEJA, 55, Es:T Pl:OD Pt:OS;3;N;05/06/2025;1.0;2.0;SANTA POLA;;2;2;4;ALICANTE/ALACANT;2203121YH1320S0001RU;N;CV-VUT0516956-A;38.00;
121;3;3130.0;CL TORREVIEJA, 57, Es:T Pl:OD Pt:OS;1;N;10/12/2019;1.0;0.0;SANTA POLA;Vivienda 480223-A;2;0;2;ALICANTE/ALACANT;2203120YH1320S0001KU;N;CV-VUT0480223-A;38.00;
133;3;3180.0;AV ABANTO, 9, Es:T Pl:OD Pt:OS;3;N;16/12/2024;3.0;0.0;TORREVIEJA;Vivienda 513325-A;6;0;6;ALICANTE/ALACANT;2006205YH0120N0001KM;N;CV-VUT0513325-A;184.00;
133;3;3180.0;AV ADRADAS, 130, Es:T Pl:OD Pt:OS;2;N;26/04/2023;2.0;0.0;TORREVIEJA;Vivienda 497288-A;4;0;4;ALICANTE/ALACANT;2107514YH0120N0001SM;N;CV-VUT0497288-A;52.00;
133;3;3180.0;AV AGUA DEL, 1P, Es:1 Pl:-1 Pt:90;2;N;14/10/2020;2.0;0.0;TORREVIEJA;Vivienda 483608-A;4;0;4;ALICANTE/ALACANT;5794501YH0059S0207KL;N;CV-VUT0483608-A;33.00;
133;3;3180.0;AV AGUA DEL, 1P, Es:1 Pl:00 Pt:109;2;N;15/06/2023;1.0;1.0;TORREVIEJA;Vivienda 499233-A;2;1;3;ALICANTE/ALACANT;5794501YH0059S0110GH;N;CV-VUT0499233-A;71.00;
