Signatura;Cod. Estado;Estado;Cod. Categoria;Categoría;Nombre;Cod. Provincia;Provincia;Cod. Municipio;Municipio;Comarca;CP;Dirección;Cod. Tipo Via;Tipo Via;Via;Número;Email;Web;Cod. Grupo;Grupo;Cod. Modalidad;Modalidad;Habitaciones;Plazas;Cod. Cadena;Cadena;Fecha Alta;Fecha Baja;Periodo;Días periodo;Unnamed: 31
CV H01154 A;B;BAJA;0;PENSIÓN;LA FORTALEZA;3;ALACANT;80;JACARILLA;EL BAIX SEGURA/LA VEGA BAJA;03310;CARRETERA BIGASTRO-TORREVIEJA, KM., 12,;CR;CARRETERA;BIGASTRO-TORREVIEJA, KM.;12,; ; ;P;PENSIÓN;P;PENSIÓN;15;32;NCD;NO PERTENECE A NINGUNA CADENA;14/03/1996;28/02/2007;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H00925 A;A;ALTA;0;PENSIÓN;HB TORREVIEJA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03182;CALLE APOLO, 45;C;CALLE;APOLO;45;hbasociados2018@gmail.com; ;P;PENSIÓN;P;PENSIÓN;24;38;NCD;NO PERTENECE A NINGUNA CADENA;10/12/1974; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01505 A;A;ALTA; ; ;7A;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03182;CALLE ALMUDENA, 4-BJ;C;CALLE;ALMUDENA;4-BJ; ; ;HS;HOSTAL; ; ;7;12;NCD;NO PERTENECE A NINGUNA CADENA;28/06/2019; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01312 A;A;ALTA;1;1 ESTRELLA;ALBA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03188;AVENIDA ESPAÑOLES, 17;AV;AVENIDA;ESPAÑOLES;17;buzon@hostalbaplaya.com;http://www.hostalalbaplaya.com;HS;HOSTAL;SR;HOSTAL-RESIDENCIA;11;19;NCD;NO PERTENECE A NINGUNA CADENA;14/07/2005; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01466 A;A;ALTA;3;3 ESTRELLAS;APARTHOTEL SOLE BELLO;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03188;AVENIDA DEL MAR, 1-3;AV;AVENIDA;DEL MAR;1-3;comercial@kenkohotels.com;https://aparthotel-sole-bello.business.site;H;HOTEL;HA;HOTEL-APARTAMENTO;49;118;NCD;NO PERTENECE A NINGUNA CADENA;03/08/2017; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H00771 A;A;ALTA;3;3 ESTRELLAS;AS HOTEL MADRID;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03181;CALLE VILLA MADRID, 15;C;CALLE;VILLA MADRID;15;reservas@ansahotel.com;http://www.ansahotel.com;H;HOTEL;H;HOTEL;40;73;NCD;NO PERTENECE A NINGUNA CADENA;10/03/1971; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H00813 A;B;BAJA;2;2 ESTRELLAS;BRASIL;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03180;MARIA PARODI, 4, S.N; ; ;MARIA PARODI, 4;S.N; ; ;HS;HOSTAL;SR;HOSTAL-RESIDENCIA;12;18;NCD;NO PERTENECE A NINGUNA CADENA;02/09/1971;06/07/1994;01/04 - 31/10;De Lunes a Domingo;
CV H00884 A;B;BAJA;0;PENSIÓN;CALICHE;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03180;CALLE PEDRO LORCA, 017;C;CALLE;PEDRO LORCA;017; ; ;P;PENSIÓN;P;PENSIÓN;12;23;NCD;NO PERTENECE A NINGUNA CADENA;13/07/1973;18/06/1997;01/04 - 30/10;De Lunes a Domingo;
CV H01110 A;A;ALTA;1;1 ESTRELLA;CANO;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03182;CALLE ZOA, 53;C;CALLE;ZOA;53;info@hotelcano.com;http://hotelcano.com;H;HOTEL;H;HOTEL;57;94;NCD;NO PERTENECE A NINGUNA CADENA;25/05/1992; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01546 A;B;BAJA;0;PENSIÓN;CASTILLA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03182;CALLE LA SAL, 16;C;CALLE;LA SAL;16;rociocontento5@gmail.com;servigroup.com;HS;HOSTAL; ; ;22;36;NCD;NO PERTENECE A NINGUNA CADENA;21/08/2020;06/06/2022;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01135 A;B;BAJA;1;1 ESTRELLA;CASTILLA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03182;CALLE LA SAL, 16;C;CALLE;LA SAL;16;hostalcastilla@publisof.com;http://www.hostal-castilla.com;HS;HOSTAL;HS;HOSTAL;22;45;NCD;NO PERTENECE A NINGUNA CADENA;25/02/1995;31/05/2010;01/03 - 31/12;De Lunes a Domingo;
CV H01222 A;A;ALTA;1;1 ESTRELLA;CENTRAL;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03181;RAMBLA JUAN MATEO, 18; ; ;RAMBLA JUAN MATEO;18;hotel.central@hotmail.com;https://hotel-central-torrevieja.business.site;H;HOTEL;H;HOTEL;28;47;NCD;NO PERTENECE A NINGUNA CADENA;20/07/2001; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01147 A;B;BAJA;1;1 ESTRELLA;DELFIN;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03180;PLAZA MARINA ESPAÑOLA, 11;PL;PLAZA;MARINA ESPAÑOLA;11; ; ;H;HOTEL;H;HOTEL;12;22;NCD;NO PERTENECE A NINGUNA CADENA;04/10/1995;12/04/2001;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01402 A;A;ALTA;4;4 ESTRELLAS;DOÑA MONSE;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03186;URBANIZACIÓN LOS BALCONES, AV. DE ORIHUELA, 75;UR;URBANIZACIÓN;LOS BALCONES, AV. DE ORIHUELA;75;reservas@hotelmonse.com;https://www.hotelmonse.com;H;HOTEL;H;HOTEL;69;134;NCD;NO PERTENECE A NINGUNA CADENA;04/05/2012; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H00636 A;B;BAJA;1;1 ESTRELLA;EDEN ROC;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03180;CALLE ALFREDO NOBEL, 108;C;CALLE;ALFREDO NOBEL;108; ; ;H;HOTEL;H;HOTEL;30;56;NCD;NO PERTENECE A NINGUNA CADENA;06/11/1969;14/04/1994;01/04 - 30/09;De Lunes a Domingo;
CV H00215 A;B;BAJA;0;PENSIÓN;FERNANDEZ;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03180;CALLE RAMON GALLUD, 16;C;CALLE;RAMON GALLUD;16; ; ;P;PENSIÓN;P;PENSIÓN;19;32;NCD;NO PERTENECE A NINGUNA CADENA;01/01/1965;09/07/2001;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01055 A;B;BAJA;2;2 ESTRELLAS;FONTANA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03181;RAMBLA DE JUAN MATEO, 19; ; ;RAMBLA DE JUAN MATEO;19;hotel@hotelfontana.com;http://www.hotelfontana.com;H;HOTEL;H;HOTEL;156;294;NCD;NO PERTENECE A NINGUNA CADENA;15/12/1983;30/11/2009;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01397 A;A;ALTA;3;3 ESTRELLAS;FONTANA PLAZA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03181;RAMBLA JUAN MATEO GARCÍA, 19; ; ;RAMBLA JUAN MATEO GARCÍA;19;fontanaplaza@hotelfontanaplaza.com;http://www.hotelfontanaplaza.com;H;HOTEL;H;HOTEL;173;346;NCD;NO PERTENECE A NINGUNA CADENA;29/07/2011; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01275 A;A;ALTA;1;1 ESTRELLA;GRAN VIA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03182;CALLE PATRICIO ZAMMIT, 60;C;CALLE;PATRICIO ZAMMIT;60;andres1068@hotmail.es; ;HS;HOSTAL;SR;HOSTAL-RESIDENCIA;17;33;NCD;NO PERTENECE A NINGUNA CADENA;13/06/2003; ; ; ;
CV H01670 A;A;ALTA; ; ;H'S BEACH;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03182;CALLE FRAGATA, 1, LOCAL 4;C;CALLE;FRAGATA;1, LOCAL 4;paseobeach@hotmail.com; ;HS;HOSTAL; ; ;6;12;NCD;NO PERTENECE A NINGUNA CADENA;19/08/2024; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01132 A;A;ALTA;1;1 ESTRELLA;JUAN CARLOS;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03182;CALLE APOLO, 85;C;CALLE;APOLO;85;info@hoteljuancarlos.com;http://www.hoteljuancarlos.com;H;HOTEL;H;HOTEL;24;49;NCD;NO PERTENECE A NINGUNA CADENA;07/02/1995; ;SIEMPRE ABIERTO;De Lunes a Domingo;
