Puntos turísticos;Viajeros y pernoctaciones;Residencia;Periodo;Total
03133 Torrevieja;Viajero;Residentes en España;2026M01;106
03133 Torrevieja;Viajero;Residentes en España;2025M12;2.502
03133 Torrevieja;Viajero;Residentes en España;2025M11;2.540
03133 Torrevieja;Viajero;Residentes en España;2025M10;939
03133 Torrevieja;Viajero;Residentes en España;2025M09;3.073
03133 Torrevieja;Viajero;Residentes en España;2025M08;7.380
03133 Torrevieja;Viajero;Residentes en España;2025M07;5.230
03133 Torrevieja;Viajero;Residentes en España;2025M06;5.651
03133 Torrevieja;Viajero;Residentes en España;2025M05;2.239
03133 Torrevieja;Viajero;Residentes en España;2025M04;1.619
03133 Torrevieja;Viajero;Residentes en España;2025M03;1.273
03133 Torrevieja;Viajero;Residentes en España;2025M02;3.927
03133 Torrevieja;Viajero;Residentes en España;2025M01;1.555
03133 Torrevieja;Viajero;Residentes en España;2024M12;.
03133 Torrevieja;Viajero;Residentes en España;2024M11;488
03133 Torrevieja;Viajero;Residentes en España;2024M10;310
03133 Torrevieja;Viajero;Residentes en España;2024M09;560
03133 Torrevieja;Viajero;Residentes en España;2024M08;5.742
03133 Torrevieja;Viajero;Residentes en España;2024M07;3.180
03133 Torrevieja;Viajero;Residentes en España;2024M06;2.436
03133 Torrevieja;Viajero;Residentes en España;2024M05;689
03133 Torrevieja;Viajero;Residentes en España;2024M04;368
03133 Torrevieja;Viajero;Residentes en España;2024M03;380
03133 Torrevieja;Viajero;Residentes en España;2024M02;174
03133 Torrevieja;Viajero;Residentes en España;2024M01;83
03133 Torrevieja;Viajero;Residentes en España;2023M12;249
03133 Torrevieja;Viajero;Residentes en España;2023M11;162
03133 Torrevieja;Viajero;Residentes en España;2023M10;1.286
03133 Torrevieja;Viajero;Residentes en España;2023M09;1.406
03133 Torrevieja;Viajero;Residentes en España;2023M08;22.662
03133 Torrevieja;Viajero;Residentes en España;2023M07;8.467
03133 Torrevieja;Viajero;Residentes en España;2023M06;8.119
03133 Torrevieja;Viajero;Residentes en España;2023M05;2.697
03133 Torrevieja;Viajero;Residentes en España;2023M04;17.636
03133 Torrevieja;Viajero;Residentes en España;2023M03;578
03133 Torrevieja;Viajero;Residentes en España;2023M02;197
03133 Torrevieja;Viajero;Residentes en España;2023M01;296
03133 Torrevieja;Viajero;Residentes en España;2022M12;421
03133 Torrevieja;Viajero;Residentes en España;2022M11;187
03133 Torrevieja;Viajero;Residentes en España;2022M10;210
03133 Torrevieja;Viajero;Residentes en España;2022M09;352
03133 Torrevieja;Viajero;Residentes en España;2022M08;2.338
03133 Torrevieja;Viajero;Residentes en España;2022M07;935
03133 Torrevieja;Viajero;Residentes en España;2022M06;1.519
03133 Torrevieja;Viajero;Residentes en España;2022M05;200
03133 Torrevieja;Viajero;Residentes en España;2022M04;224
03133 Torrevieja;Viajero;Residentes en España;2022M03;225
03133 Torrevieja;Viajero;Residentes en España;2022M02;169
03133 Torrevieja;Viajero;Residentes en España;2022M01;133
03133 Torrevieja;Viajero;Residentes en España;2021M12;513
03133 Torrevieja;Viajero;Residentes en España;2021M11;40
03133 Torrevieja;Viajero;Residentes en España;2021M10;.
03133 Torrevieja;Viajero;Residentes en España;2021M09;225
03133 Torrevieja;Viajero;Residentes en España;2021M08;4.126
03133 Torrevieja;Viajero;Residentes en España;2021M07;1.963
03133 Torrevieja;Viajero;Residentes en España;2021M06;654
03133 Torrevieja;Viajero;Residentes en España;2021M05;.
03133 Torrevieja;Viajero;Residentes en España;2021M04;.
03133 Torrevieja;Viajero;Residentes en España;2021M03;69
03133 Torrevieja;Viajero;Residentes en España;2021M02;13
03133 Torrevieja;Viajero;Residentes en España;2021M01;152
03133 Torrevieja;Viajero;Residentes en España;2020M12;51
03133 Torrevieja;Viajero;Residentes en España;2020M11;19
03133 Torrevieja;Viajero;Residentes en España;2020M10;64
03133 Torrevieja;Viajero;Residentes en España;2020M09;0
03133 Torrevieja;Viajero;Residentes en España;2020M08;1.974
