Puntos turísticos;Viajeros y pernoctaciones;Residencia;Periodo;Total
03133 Torrevieja;Viajero;Residentes en España;2026M02;.
03133 Torrevieja;Viajero;Residentes en España;2026M01;.
03133 Torrevieja;Viajero;Residentes en España;2025M12;.
03133 Torrevieja;Viajero;Residentes en España;2025M11;.
03133 Torrevieja;Viajero;Residentes en España;2025M10;.
03133 Torrevieja;Viajero;Residentes en España;2025M09;.
03133 Torrevieja;Viajero;Residentes en España;2025M08;.
03133 Torrevieja;Viajero;Residentes en España;2025M07;.
03133 Torrevieja;Viajero;Residentes en España;2025M06;.
03133 Torrevieja;Viajero;Residentes en España;2025M05;.
03133 Torrevieja;Viajero;Residentes en España;2025M04;.
03133 Torrevieja;Viajero;Residentes en España;2025M03;.
03133 Torrevieja;Viajero;Residentes en España;2025M02;3.716
03133 Torrevieja;Viajero;Residentes en España;2025M01;.
03133 Torrevieja;Viajero;Residentes en España;2024M12;.
03133 Torrevieja;Viajero;Residentes en España;2024M11;.
03133 Torrevieja;Viajero;Residentes en España;2024M10;.
03133 Torrevieja;Viajero;Residentes en España;2024M09;.
03133 Torrevieja;Viajero;Residentes en España;2024M08;.
03133 Torrevieja;Viajero;Residentes en España;2024M07;.
03133 Torrevieja;Viajero;Residentes en España;2024M06;.
03133 Torrevieja;Viajero;Residentes en España;2024M05;.
03133 Torrevieja;Viajero;Residentes en España;2024M04;.
03133 Torrevieja;Viajero;Residentes en España;2024M03;.
03133 Torrevieja;Viajero;Residentes en España;2024M02;.
03133 Torrevieja;Viajero;Residentes en España;2024M01;.
03133 Torrevieja;Viajero;Residentes en España;2023M12;.
03133 Torrevieja;Viajero;Residentes en España;2023M11;.
03133 Torrevieja;Viajero;Residentes en España;2023M10;.
03133 Torrevieja;Viajero;Residentes en España;2023M09;.
03133 Torrevieja;Viajero;Residentes en España;2023M08;.
03133 Torrevieja;Viajero;Residentes en España;2023M07;.
03133 Torrevieja;Viajero;Residentes en España;2023M06;.
03133 Torrevieja;Viajero;Residentes en España;2023M05;.
03133 Torrevieja;Viajero;Residentes en España;2023M04;.
03133 Torrevieja;Viajero;Residentes en España;2023M03;.
03133 Torrevieja;Viajero;Residentes en España;2023M02;.
03133 Torrevieja;Viajero;Residentes en España;2023M01;.
03133 Torrevieja;Viajero;Residentes en España;2022M12;.
03133 Torrevieja;Viajero;Residentes en España;2022M11;4.486
03133 Torrevieja;Viajero;Residentes en España;2022M10;3.439
03133 Torrevieja;Viajero;Residentes en España;2022M09;4.068
03133 Torrevieja;Viajero;Residentes en España;2022M08;8.943
03133 Torrevieja;Viajero;Residentes en España;2022M07;9.304
03133 Torrevieja;Viajero;Residentes en España;2022M06;7.546
03133 Torrevieja;Viajero;Residentes en España;2022M05;.
03133 Torrevieja;Viajero;Residentes en España;2022M04;.
03133 Torrevieja;Viajero;Residentes en España;2022M03;.
03133 Torrevieja;Viajero;Residentes en España;2022M02;.
03133 Torrevieja;Viajero;Residentes en España;2022M01;.
03133 Torrevieja;Viajero;Residentes en España;2021M12;.
03133 Torrevieja;Viajero;Residentes en España;2021M11;.
03133 Torrevieja;Viajero;Residentes en España;2021M10;.
03133 Torrevieja;Viajero;Residentes en España;2021M09;.
03133 Torrevieja;Viajero;Residentes en España;2021M08;.
03133 Torrevieja;Viajero;Residentes en España;2021M07;.
03133 Torrevieja;Viajero;Residentes en España;2021M06;.
03133 Torrevieja;Viajero;Residentes en España;2021M05;.
03133 Torrevieja;Viajero;Residentes en España;2021M04;.
03133 Torrevieja;Viajero;Residentes en España;2021M03;.
03133 Torrevieja;Viajero;Residentes en España;2021M02;.
