Puntos turísticos;Residencia del viajero;Periodo;Total
Torrevieja;Total;2025M09;""
Torrevieja;Total;2025M08;""
Torrevieja;Total;2025M07;""
Torrevieja;Total;2025M06;185.475
Torrevieja;Total;2025M05;103.504
Torrevieja;Total;2025M04;109.733
Torrevieja;Total;2025M03;71.361
Torrevieja;Total;2025M02;70.450
Torrevieja;Total;2025M01;64.974
Torrevieja;Total;2024M12;76.273
Torrevieja;Total;2024M11;63.402
Torrevieja;Total;2024M10;106.695
Torrevieja;Total;2024M09;142.588
Torrevieja;Total;2024M08;420.304
Torrevieja;Total;2024M07;344.069
Torrevieja;Total;2024M06;154.400
Torrevieja;Total;2024M05;99.991
Torrevieja;Total;2024M04;76.497
Torrevieja;Total;2024M03;82.698
Torrevieja;Total;2024M02;55.491
Torrevieja;Total;2024M01;50.782
Torrevieja;Total;2023M12;59.000
Torrevieja;Total;2023M11;46.000
Torrevieja;Total;2023M10;89.000
Torrevieja;Total;2023M09;104.000
Torrevieja;Total;2023M08;334.000
Torrevieja;Total;2023M07;270.000
Torrevieja;Total;2023M06;106.000
Torrevieja;Total;2023M05;65.000
Torrevieja;Total;2023M04;79.000
Torrevieja;Total;2023M03;46.000
Torrevieja;Total;2023M02;42.000
Torrevieja;Total;2023M01;46.000
Torrevieja;Total;2022M12;41.000
Torrevieja;Total;2022M11;38.000
Torrevieja;Total;2022M10;61.000
Torrevieja;Total;2022M09;85.000
Torrevieja;Total;2022M08;261.000
Torrevieja;Total;2022M07;227.000
Torrevieja;Total;2022M06;101.000
Torrevieja;Total;2022M05;62.000
Torrevieja;Total;2022M04;69.000
Torrevieja;Total;2022M03;40.000
Torrevieja;Total;2022M02;28.000
Torrevieja;Total;2022M01;24.000
Torrevieja;Total;2021M12;32.000
Torrevieja;Total;2021M11;28.000
Torrevieja;Total;2021M10;43.000
Torrevieja;Total;2021M09;59.000
Torrevieja;Total;2021M08;214.000
Torrevieja;Total;2021M07;165.000
Torrevieja;Total;2021M06;44.000
Torrevieja;Total;2021M05;17.000
Torrevieja;Total;2021M04;11.000
Torrevieja;Total;2021M03;7.000
Torrevieja;Total;2021M02;5.000
Torrevieja;Total;2021M01;7.000
Torrevieja;Total;2020M12;9.000
Torrevieja;Total;2020M11;6.000
Torrevieja;Total;2020M10;13.000
Torrevieja;Total;2020M09;22.000
Torrevieja;Total;2020M08;143.000
Torrevieja;Total;2020M07;82.000
Torrevieja;Total;2020M06;9.000
Torrevieja;Total;2020M05;2.000
Torrevieja;Total;2020M04;2.000
Torrevieja;Total;2020M03;15.000
Torrevieja;Total;2020M02;29.000
Torrevieja;Total;2020M01;24.000
Torrevieja;Total;2019M12;28.000
Torrevieja;Total;2019M11;22.000
Torrevieja;Total;2019M10;44.000
Torrevieja;Total;2019M09;73.000
Torrevieja;Total;2019M08;246.000
Torrevieja;Total;2019M07;190.000
Torrevieja;Total;2019M06;86.000
Torrevieja;Total;2019M05;44.000
Torrevieja;Total;2019M04;49.000
Torrevieja;Total;2019M03;25.000
Torrevieja;Total;2019M02;22.000
Torrevieja;Total;2019M01;22.000
Torrevieja;Total;2018M12;25.000
Torrevieja;Total;2018M11;18.000
Torrevieja;Total;2018M10;43.000
Torrevieja;Total;2018M09;68.000
Torrevieja;Total;2018M08;219.000
Torrevieja;Total;2018M07;173.000
Torrevieja;Total;2018M06;76.000
Torrevieja;Total;2018M05;37.000
Torrevieja;Total;2018M04;31.000
Torrevieja;Total;2018M03;31.000
Torrevieja;Total;2018M02;18.000
Torrevieja;Total;2018M01;16.000
Torrevieja;Residentes en España;2025M09;""
Torrevieja;Residentes en España;2025M08;""
Torrevieja;Residentes en España;2025M07;""
Torrevieja;Residentes en España;2025M06;57.583
Torrevieja;Residentes en España;2025M05;22.860
Torrevieja;Residentes en España;2025M04;32.673
Torrevieja;Residentes en España;2025M03;9.997
Torrevieja;Residentes en España;2025M02;8.912
Torrevieja;Residentes en España;2025M01;8.668
Torrevieja;Residentes en España;2024M12;13.231
Torrevieja;Residentes en España;2024M11;7.702
Torrevieja;Residentes en España;2024M10;9.267
Torrevieja;Residentes en España;2024M09;33.976
Torrevieja;Residentes en España;2024M08;205.803
Torrevieja;Residentes en España;2024M07;131.919
Torrevieja;Residentes en España;2024M06;40.995
Torrevieja;Residentes en España;2024M05;18.005
Torrevieja;Residentes en España;2024M04;9.586
Torrevieja;Residentes en España;2024M03;23.510
Torrevieja;Residentes en España;2024M02;6.573
Torrevieja;Residentes en España;2024M01;5.832
Torrevieja;Residentes en España;2023M12;11.000
Torrevieja;Residentes en España;2023M11;5.000
Torrevieja;Residentes en España;2023M10;11.000
Torrevieja;Residentes en España;2023M09;29.000
Torrevieja;Residentes en España;2023M08;180.000
Torrevieja;Residentes en España;2023M07;123.000
Torrevieja;Residentes en España;2023M06;32.000
Torrevieja;Residentes en España;2023M05;10.000
Torrevieja;Residentes en España;2023M04;29.000
Torrevieja;Residentes en España;2023M03;7.000
Torrevieja;Residentes en España;2023M02;5.000
Torrevieja;Residentes en España;2023M01;5.000
Torrevieja;Residentes en España;2022M12;9.000
Torrevieja;Residentes en España;2022M11;4.000
Torrevieja;Residentes en España;2022M10;6.000
Torrevieja;Residentes en España;2022M09;26.000
Torrevieja;Residentes en España;2022M08;139.000
Torrevieja;Residentes en España;2022M07;104.000
Torrevieja;Residentes en España;2022M06;31.000
Torrevieja;Residentes en España;2022M05;11.000
Torrevieja;Residentes en España;2022M04;19.000
Torrevieja;Residentes en España;2022M03;5.000
Torrevieja;Residentes en España;2022M02;4.000
Torrevieja;Residentes en España;2022M01;4.000
Torrevieja;Residentes en España;2021M12;9.000
Torrevieja;Residentes en España;2021M11;4.000
Torrevieja;Residentes en España;2021M10;7.000
Torrevieja;Residentes en España;2021M09;24.000
Torrevieja;Residentes en España;2021M08;149.000
Torrevieja;Residentes en España;2021M07;104.000
Torrevieja;Residentes en España;2021M06;29.000
Torrevieja;Residentes en España;2021M05;8.000
Torrevieja;Residentes en España;2021M04;6.000
Torrevieja;Residentes en España;2021M03;3.000
Torrevieja;Residentes en España;2021M02;2.000
Torrevieja;Residentes en España;2021M01;2.000
Torrevieja;Residentes en España;2020M12;4.000
Torrevieja;Residentes en España;2020M11;2.000
Torrevieja;Residentes en España;2020M10;5.000
Torrevieja;Residentes en España;2020M09;14.000
Torrevieja;Residentes en España;2020M08;103.000
Torrevieja;Residentes en España;2020M07;52.000
Torrevieja;Residentes en España;2020M06;7.000
Torrevieja;Residentes en España;2020M05;..
Torrevieja;Residentes en España;2020M04;..
Torrevieja;Residentes en España;2020M03;3.000
Torrevieja;Residentes en España;2020M02;5.000
Torrevieja;Residentes en España;2020M01;4.000
Torrevieja;Residentes en España;2019M12;6.000
Torrevieja;Residentes en España;2019M11;3.000
Torrevieja;Residentes en España;2019M10;4.000
Torrevieja;Residentes en España;2019M09;17.000
Torrevieja;Residentes en España;2019M08;126.000
Torrevieja;Residentes en España;2019M07;74.000
Torrevieja;Residentes en España;2019M06;23.000
Torrevieja;Residentes en España;2019M05;8.000
Torrevieja;Residentes en España;2019M04;18.000
Torrevieja;Residentes en España;2019M03;4.000
Torrevieja;Residentes en España;2019M02;3.000
Torrevieja;Residentes en España;2019M01;3.000
Torrevieja;Residentes en España;2018M12;6.000
Torrevieja;Residentes en España;2018M11;3.000
Torrevieja;Residentes en España;2018M10;5.000
Torrevieja;Residentes en España;2018M09;19.000
