cod_estado;cod_modalidad;cod_municipio;cod_provincia;cp;direccion;email;estado;fecha_alta;modalidad;municipio;nombre;numhabmas8;numhabmenos8;numplaanterior;numplahabmas8;numplahabmenos8;periodo;provincia;signatura;web;telefono
A;ALT;105;03;03560;PD DE ENCEBRAS 2;adl@pinoso.org;ACTIVO;24/06/1995;ALBERGUE;PINÓS, EL/PINOSO;MONTE CARMELO;0;0;70;0;0;No especificado;ALICANTE/ALACANT;CV-ALT000001-A;;965477126
A;ALT;093;12;12599;C Major-El Boixar 28;casarural@elboixar.net;ACTIVO;12/06/1995;ALBERGUE;POBLA DE BENIFASSÀ, LA;CASA REFUGIO EL BOIXAR;1;7;0;8;18;[Semana Santa];CASTELLÓN/CASTELLÓ;CV-ALT000001-CS;https://www.elboixar.net;615 30 64 47
A;ALT;112;46;46167;PO III-PARCELA 317;info@elaltico.com;ACTIVO;26/06/1996;ALBERGUE;CHULILLA;EL ALTICO;0;0;24;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000001-V;;961657010
A;ALT;010;12;12413;C CARBONERAS 4;info@lasurera.org;ACTIVO;12/06/1995;ALBERGUE;ALMEDÍJAR;ALBERGUE LA SURERA;5;5;0;46;14;No especificado;CASTELLÓN/CASTELLÓ;CV-ALT000003-CS;http://alberguealmedijar.lasurera.org;964137400
A;ALT;232;46;46320;C Protectora 57;vinuelas@riublanc.es;ACTIVO;18/02/1998;ALBERGUE;SINARCAS;LAS VIÑUELAS;0;0;90;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000003-V;www.lasviñuelas.com;962 18 40 24
A;ALT;043;12;12440;Mas de Noguera;agroturismo@masdenoguera.es;ACTIVO;12/06/1995;ALBERGUE;CAUDIEL;MAS DE NOGUERA;0;0;62;0;0;No especificado;CASTELLÓN/CASTELLÓ;CV-ALT000004-CS;http://www.masdenoguera.coop;964 144 074
A;ALT;050;46;46312;CM PANTANO, Plaza del Cerrillar s/n;reservas@alberguebenageber.com;ACTIVO;12/05/1998;ALBERGUE;BENAGÉBER;EMBALSE BENAGEBER;0;0;258;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000004-V;http://www.alberguebenageber.com;962 171 015
A;ALT;142;46;46624;C MAYOR 9;;ACTIVO;23/11/1999;ALBERGUE;JALANCE;JALANCE;0;0;48;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000005-V;http://www.jalance.com;962196048
A;ALT;130;12;12124;MÁS DE BORRAS;info@elmasdeborras.com;ACTIVO;27/11/1996;ALBERGUE;VILLAHERMOSA DEL RÍO;MAS DE BORRAS;0;0;96;0;0;No especificado;CASTELLÓN/CASTELLÓ;CV-ALT000006-CS;http://www.elmasdeborras.com;964 255 675
A;ALT;170;46;46640;CR Moixent Fontanars, Km 7;info@naturjove.es;ACTIVO;08/06/2000;ALBERGUE;MOIXENT/MOGENTE;LES ALCUSSES;0;0;56;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000006-V;http://www.naturjove.es;962920054
