cod_estado;cod_modalidad;cod_municipio;cod_provincia;cp;direccion;email;estado;fecha_alta;modalidad;municipio;nombre;numparcelas;supdelimitada;plazas_delimitadas;subtotal;plazas_total;periodo;provincia;signatura;web;telefono
A;ARP;040;12;12006;AVENIDA RIBESALBES, 80;;ACTIVO;22/11/2024;PERNOCTA;CASTELLÓ DE LA PLANA/CASTELLÓN DE LA PLANA;COSTA AZAHAR CAMPER PARK;38;2092;114;5740;114;[Anual];CASTELLÓN/CASTELLÓ;CV-ARP000001-CS;;
A;ARP;031;03;03502;C FOIA DEL VERDADER 1;camperareapark@terranatura.com;ACTIVO;24/10/2017;PERNOCTA;BENIDORM;PARK TERRA NATURA;40;;120;442;120;[Anual];ALICANTE/ALACANT;CV-ARP000002-A;http://camperareapark.terranatura.com;902165454
A;ARP;206;46;46824;PE CORBERA  POL 17 PARCELAS 23 Y 27 S/N;campamentoriogrande@gmail.com;ACTIVO;25/05/2023;PERNOCTA;QUESA;RIO GRANDE;19;636;57;7883;57;[Semana Santa];VALENCIA/VALÈNCIA;CV-ARP000002-V;;679480374
A;ARP;021;46;46960;carretera aldaia xirivella 32;camperparkaldaia@gmail.com;ACTIVO;07/03/2024;PERNOCTA;ALDAIA;CAMPER PARK ALDAIA;50;1873;150;2836;150;[Anual];VALENCIA/VALÈNCIA;CV-ARP000003-V;www.camperparkaldaia.com;613419564
A;ARP;238;46;46760;POLÍGONO 14, PARCELAS 1 y 120;eduardpa1963@gmail.com;ACTIVO;31/05/2024;PERNOCTA;TAVERNES DE LA VALLDIGNA;OHANA CAMPER TAVERNES;67;7112;201;17866;201;[Anual];VALENCIA/VALÈNCIA;CV-ARP000004-V;;656909724
A;ARP;069;03;03509;C 9 D'Octubre 48;finestratcamperlacala@gmail.com;ACTIVO;21/04/2022;PERNOCTA;FINESTRAT;SUNBEACH CAMPARK;34;1454;102;2674;102;[Anual];ALICANTE/ALACANT;CV-ARP000005-A;;691529781
A;ARP;021;46;46960;RIU XUQUER;reygomezgestion@gmail.com;ACTIVO;25/02/2025;PERNOCTA;ALDAIA;XIRIVELLA CAMPER;12;309;36;1309;36;[Anual];VALENCIA/VALÈNCIA;CV-ARP000005-V;;649844325
A;ARP;081;03;03727;Calle Pallarés, 4;camperparkxalo@gmail.com;ACTIVO;12/02/2025;PERNOCTA;XALÓ;CAMPER PARK XALO;42;2446;126;4206;126;[Anual];ALICANTE/ALACANT;CV-ARP000007-A;;686159610
A;ARP;015;03;03160;AVENIDA DAYA NUEVA, Nº6;camperalmoradi@gmail.com;ACTIVO;11/08/2025;PERNOCTA;ALMORADÍ;CAMPERPARK ALMORADI;19;638;57;1699;57;[Anual];ALICANTE/ALACANT;CV-ARP000008-A;;680985020
A;ARP;107;03;03520;CAMI DEL CASTELLET;info@camperponoig.es;ACTIVO;01/10/2025;PERNOCTA;POLOP;CAMPER PONOIG;60;2436;180;5986;180;[Anual];ALICANTE/ALACANT;CV-ARP000009-A;www.camperponoig.es;652704778
A;ARP;133;03;03185;URBANIZACION MAR AZUL;oelevantesl@gmail.com;ACTIVO;16/12/2025;PERNOCTA;TORREVIEJA;CAMPER PARK TORREVIEJA;57;2760;171;5769;171;[Anual];ALICANTE/ALACANT;CV-ARP000010-A;;
