cp;categoria;cod_categoria;cod_estado;cod_modalidad;cod_municipio;cod_provincia;direccion;email;estado;fecha_alta;modalidad;municipio;nombre;num_bungalos;num_parcelas;periodo;plaza_bungalos;plazas;plazas_libre_acampada;plazas_parcela;provincia;signatura;sup_libre_acampada;telefono;web
03130;TRES ESTRELLAS;3e;A;CAM;121;03;CR Santa Pola - Elx Km. 11;info@campingbahiasantapola.com;ACTIVO;04/06/1965;CAMPING;SANTA POLA;BAHIA DE SANTA POLA;11;457;[Anual];49;1387;1338;0;ALICANTE/ALACANT;CV-CAM000004-A;0;+00 34 965 411 012;https://www.campingbahiasantapola.com
03130;UNA ESTRELLA;1e;A;CAM;121;03;C Los Electricistas (Pol.Industrial 2) 14;camperareasantapola@gmail.com;ACTIVO;25/05/2018;CAMPING;SANTA POLA;SANTA POLA;0;23;[Anual];0;69;69;0;ALICANTE/ALACANT;CV-CAM000110-A;0;691137174;http://campingsantapolacaravanas.es
03140;CINCO ESTRELLAS;5e;A;CAM;076;03;CR N-332, KM. 73.4;reservas@alannia.com;ACTIVO;06/10/1997;CAMPING;GUARDAMAR DEL SEGURA;ALANNIA GUARDAMAR;124;213;[Anual];597;864;267;0;ALICANTE/ALACANT;CV-CAM000077-A;0;965484945;http://www.alanniaresorts.com
03140;TRES ESTRELLAS;3e;A;CAM;076;03;CR Cartagena - Alicante km.70,5;admin@campingpalmmar.es;ACTIVO;10/09/1981;CAMPING;GUARDAMAR DEL SEGURA;PALM-MAR;0;177;No especificado;0;559;531;28;ALICANTE/ALACANT;CV-CAM000051-A;560;965728856;http://www.campingpalmmar.com
03177;TRES ESTRELLAS;3e;A;CAM;118;03;C MAR CANTÁBRICO 7;sanfulpark@gmail.com;ACTIVO;24/07/2012;CAMPING;SAN FULGENCIO;CAMPER PARK SAN FULGENCIO;0;58;[Anual];0;174;174;0;ALICANTE/ALACANT;CV-CAM000090-A;0;966725317;camperparksanfulgencio.com
03177;UNA ESTRELLA;1e;A;CAM;118;03;POLÍGONO 6 PARCELA 70 Y 71 PARAJE EL MOLAR;RECEPCION@RSCGRUPOASESOR.COM;ACTIVO;05/10/2023;CAMPING;SAN FULGENCIO;DUNAS Y MAR;0;51;[Anual];0;153;153;0;ALICANTE/ALACANT;CV-CAM000123-A;0;966160712;WWW.DUNASYMAR.ES
03186;TRES ESTRELLAS;3e;A;CAM;133;03;CR CV-95,  S.Miguel de Salinas-Torrevieja;camping@campingflorantilles.com;ACTIVO;21/01/1994;CAMPING;TORREVIEJA;FLORANTILLES;97;264;[Anual];388;889;501;0;ALICANTE/ALACANT;CV-CAM000072-A;0;965720456;http://www.campingflorantilles.com
03191;CUATRO ESTRELLAS;4e;A;CAM;902;03;AV Comunitat Valenciana 157;info@campinglomonte.com;ACTIVO;01/06/2011;CAMPING;PILAR DE LA HORADADA;LO MONTE;42;249;[Anual];168;789;621;0;ALICANTE/ALACANT;CV-CAM000087-A;0;+34 966 766 782;https://www.campinglomonte.com
03194;CINCO ESTRELLAS;5e;A;CAM;065;03;AV de la Alegría (La Marina) s/n;cristinagomis@campinglamarina.com cristinagomis@lamarinaresort.com;ACTIVO;11/09/1981;CAMPING;ELX/ELCHE;LA MARINA CAMPING & RESORT;145;598;[Anual];723;2082;1359;0;ALICANTE/ALACANT;CV-CAM000061-A;0;965419200;https://www.lamarinaresorts.com/
03194;UNA ESTRELLA;1e;A;CAM;065;03;PARTIDA LA MARINA, POL. 0, 55 A;;ACTIVO;02/03/2025;CAMPING;ELX/ELCHE;PINET PLAYA CAMPARK LA MARINA;0;72;[Anual];0;216;216;0;ALICANTE/ALACANT;CV-CAM000127-A;0;634771306;
