cod_municipio;cod_provincia;cp;direccion;dormit_totales;estudio;fecha_alta;habdoble;habindi;municipio;nombre;numplazasdoble;numplazasindi;plazas_totales;provincia;ref_catastral;rural;signatura;superficie;web
001;03;03786;CL ARRABAL, 11, Es:T Pl:OD Pt:OS;7;N;28/01/2025;7;0;ATZÚBIA, L';;14;0;14;ALICANTE/ALACANT;7439912YJ4073N0001TY;N;CV-VUT0514102-A;222.00;
001;03;03786;CL FUENTE FORNA, 1, Es:T Pl:OD Pt:OS;2;N;01/03/2023;2;0;ATZÚBIA, L';Vivienda 495557-A;4;0;4;ALICANTE/ALACANT;5570104YJ4057S0001ST;N;CV-VUT0495557-A;134.00;
001;03;03786;CL NUEVA, 51, Es:T Pl:OD Pt:OS;4;N;12/06/2023;4;0;ATZÚBIA, L';Vivienda 499107-A;8;0;8;ALICANTE/ALACANT;7238710YJ4073N0001DY;N;CV-VUT0499107-A;403.00;
001;03;03786;CL PERERA, 13, Es:T Pl:OD Pt:OS;3;N;15/06/2023;3;0;ATZÚBIA, L';Vivienda 499270-A;6;0;6;ALICANTE/ALACANT;5669503YJ4056N0001ZE;N;CV-VUT0499270-A;180.00;
001;03;03786;CL PLAZA LA, 7, Es:1 Pl:01 Pt:0A;3;N;09/11/2017;3;0;ATZÚBIA, L';Vivienda 459747-A;6;0;6;ALICANTE/ALACANT;5569509YJ4056N0002GR;N;CV-VUT0459747-A;134.00;
001;03;03786;CL PRINCIPAL, 23, Es:T Pl:OD Pt:OS;5;N;03/10/2024;5;0;ATZÚBIA, L';Vivienda 511892-A;10;0;10;ALICANTE/ALACANT;7238926YJ4073N0001MY;N;CV-VUT0511892-A;292.00;
001;03;03786;CL PRINCIPAL, 25, Es:T Pl:OD Pt:OS;6;N;13/12/2022;6;0;ATZÚBIA, L';Vivienda 494232-A;12;0;12;ALICANTE/ALACANT;7238925YJ4073N0001FY;N;CV-VUT0494232-A;291.00;
001;03;03786;CL PRINCIPAL, 9, Es:T Pl:OD Pt:OS;4;N;30/05/2025;4;0;ATZÚBIA, L';CASA ADSUBIA;8;0;8;ALICANTE/ALACANT;7438220YJ4073N0001JY;N;CV-VUT0516929-A;314.00;
001;03;03786;CL SOLANA, 4, Es:T Pl:OD Pt:OS;1;N;21/01/2022;1;0;ATZÚBIA, L';Vivienda 488321-A;2;0;2;ALICANTE/ALACANT;7639204YJ4073N0001IY;N;CV-VUT0488321-A;156.00;
001;03;03786;CL TORRES ORDUÑA, 25, Es:T Pl:OD Pt:OS;3;N;28/01/2025;3;0;ATZÚBIA, L';;6;0;6;ALICANTE/ALACANT;7439907YJ4073N0001PY;N;CV-VUT0514101-A;291.00;
001;03;03786;CL TORRES ORDUÑA, 73, Es:1 Pl:02 Pt:17;3;N;26/07/2023;3;0;ATZÚBIA, L';Vivienda 500385-A;6;0;6;ALICANTE/ALACANT;7240801YJ4074S0070YP;N;CV-VUT0500385-A;107.00;
001;03;03786;CL TORRES ORDUÑA, 73, Es:1 Pl:02 Pt:19;3;N;26/03/2025;3;0;ATZÚBIA, L';TORRES ORDUÑA 73;6;0;6;ALICANTE/ALACANT;7240801YJ4074S0072IS;N;CV-VUT0515544-A;107.00;
001;03;03786;CL TORRES ORDUÑA, 73, Es:1 Pl:03 Pt:23;3;N;17/09/2024;2;1;ATZÚBIA, L';Vivienda 511473-A;4;1;5;ALICANTE/ALACANT;7240801YJ4074S0076SH;N;CV-VUT0511473-A;125.00;
001;03;03786;LG DISEMINADOS, 23;4;N;12/08/2016;4;0;ATZÚBIA, L';CASA AGNER;8;0;8;ALICANTE/ALACANT;002100400YJ40F0001BL;S;CV-VUT0449612-A;609.00;
001;03;03786;LG DISEMINADOS, 78D, Es:T Pl:OD Pt:OS;3;N;06/03/2009;3;0;ATZÚBIA, L';Vivienda 432958-A;6;0;6;ALICANTE/ALACANT;03001A002000780001ZG;N;CV-VUT0432958-A;325.00;
001;03;03786;UR BASSETES LES, 23, Es:1 Pl:00 Pt:05;3;N;20/09/2017;3;0;ATZÚBIA, L';Vivienda 458612-A;6;0;6;ALICANTE/ALACANT;6440402YJ4064S0005KI;N;CV-VUT0458612-A;83.00;
001;03;03786;UR BASSETES LES, 23, Es:1 Pl:00 Pt:17;3;N;02/01/2024;3;0;ATZÚBIA, L';Vivienda 504150-A;6;0;6;ALICANTE/ALACANT;6440402YJ4064S0017RJ;N;CV-VUT0504150-A;83.00;
001;03;03786;UR BASSETES LES, 30, Es:T Pl:OD Pt:OS;3;N;10/10/2024;3;0;ATZÚBIA, L';Vivienda 512032-A;6;0;6;ALICANTE/ALACANT;6540806YJ4064S0001SR;N;CV-VUT0512032-A;228.00;
001;03;03786;UR BASSETES LES, 32, Es:T Pl:OD Pt:OS;4;N;06/03/2025;4;0;ATZÚBIA, L';;8;0;8;ALICANTE/ALACANT;6540808YJ4063N0001UW;N;CV-VUT0514722-A;172.00;
001;03;03786;UR BASSETES LES, 39, Es:T Pl:OD Pt:OS;4;N;17/11/2017;4;0;ATZÚBIA, L';Vivienda 459842-A;8;0;8;ALICANTE/ALACANT;6440410YJ4064S0001DR;N;CV-VUT0459842-A;191.00;
001;03;03786;UR BASSETES LES, 52, Es:T Pl:OD Pt:OS;5;N;13/02/2020;5;0;ATZÚBIA, L';Vivienda 481130-A;10;0;10;ALICANTE/ALACANT;6440312YJ4064S0001RR;N;CV-VUT0481130-A;218.00;
001;03;03786;UR BASSETES LES, 68, Es:T Pl:OD Pt:OS;3;N;22/11/2021;3;0;ATZÚBIA, L';Vivienda 487889-A;6;0;6;ALICANTE/ALACANT;6439906YJ4063N0001AW;N;CV-VUT0487889-A;161.00;
001;03;03786;UR BASSETES LES, 70, Es:T Pl:OD Pt:OS;3;N;22/12/2017;2;1;ATZÚBIA, L';Vivienda 461846-A;4;1;5;ALICANTE/ALACANT;6439908YJ4063N0001YW;N;CV-VUT0461846-A;193.00;
001;03;03786;UR BASSETES LES, 78, Es:T Pl:OD Pt:OS;3;N;14/05/2018;3;0;ATZÚBIA, L';Vivienda 466682-A;6;0;6;ALICANTE/ALACANT;6539902YJ4063N0001DW;N;CV-VUT0466682-A;170.00;
001;03;03786;UR BASSETES LES, 79, Es:T Pl:OD Pt:OS;2;N;27/07/2022;2;0;ATZÚBIA, L';Vivienda 491594-A;4;0;4;ALICANTE/ALACANT;6539903YJ4063N0001XW;N;CV-VUT0491594-A;293.00;
001;03;03786;UR BASSETES LES, 85, Es:T Pl:OD Pt:OS;3;N;29/10/2020;3;0;ATZÚBIA, L';Vivienda 483983-A;6;0;6;ALICANTE/ALACANT;6539801YJ4063N0001MW;N;CV-VUT0483983-A;152.00;
001;03;03786;UR BASSETES LES, 87, Es:T Pl:OD Pt:OS;2;N;21/02/2019;2;0;ATZÚBIA, L';Vivienda 474020-A;4;0;4;ALICANTE/ALACANT;6539803YJ4063N0001KW;N;CV-VUT0474020-A;134.00;
001;03;03786;UR BASSETES LES, 88, Es:T Pl:OD Pt:OS;3;N;08/07/2020;3;0;ATZÚBIA, L';Vivienda 482580-A;6;0;6;ALICANTE/ALACANT;6539804YJ4063N0001RW;N;CV-VUT0482580-A;166.00;
001;03;03786;UR BASSETES LES, 99, Es:T Pl:OD Pt:OS;3;N;12/03/2019;3;0;ATZÚBIA, L';Vivienda 474464-A;6;0;6;ALICANTE/ALACANT;6539815YJ4063N0001UW;N;CV-VUT0474464-A;173.00;
