"Signatura";"Cod.Estado";"Estado";"Cod. Categoria";"Categoria";"Nombre";"Cod. Provincia";"Provincia";"Cod. Municipio";"Municipio";"CP";"Direccion";"Cod. Tipo Via";"Tipo via";"Via";"Numero";"Email";"Web";"Cod. Modalidad";"Modalidad";"Núm. Parcelas";"Plazas Parcela";"Núm. Bungalows";"Plaza Bungalows";"Sup. Libre Acampada";"Plazas Libre Acampada";"Plazas";"Fecha Alta";"Fecha Baja";"Periodo";"Días Periodo";
"CV C00009 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"ALBIR";"03";"ALACANT";"011";"L'ALFÀS DEL PI"; ;"PDA.ALBIR ZONA 6, 000"; ; ;"PDA.ALBIR ZONA 6";"000"; ; ; ; ; ; ; ; ; ; ;"350";"05/06/1982";"08/03/1996"; ; 
"CV-CAM000102-A";"A";"ALTA";"4e";"CUATRO ESTRELLAS";"LA COLINA";"03";"ALACANT";"011";"L'ALFÀS DEL PI";"03581";"CALLE SERRA GELADA, S/N";"C";"CALLE";"SERRA GELADA";"S/N";"lacolinabeach@hotmail.com";"http://campinglacolina.com";"C";"CAMPING";"150";"447";"1";"2";"0";"0";"449";"29/09/2016"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000114-A";"A";"ALTA";"2e";"DOS ESTRELLAS";"ORANGE GROVE";"03";"ALACANT";"011";"L'ALFÀS DEL PI";"03580";"CAMINO DELS ALGUERS. POLIGONO 4 PARCELA 145, S/N";"CM";"CAMINO";"DELS ALGUERS. POLIGONO 4 PARCELA 145";"S/N";"info@orangegrovecamperpark.com";"http://www.orangegrovecamperpark.com";"C";"CAMPING";"26";"78";"0"; ; ; ;"78";"02/07/2020"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00010 A";"B";"BAJA";"1";"PRIMERA CATEGORÍA";"TROPICAL";"03";"ALACANT";"011";"L'ALFÀS DEL PI"; ;"AVENIDA DE L'ALBIR, 016";"AV";"AVENIDA";"DE L'ALBIR";"016"; ; ; ; ;"240"; ; ; ;"244"; ;"12";"25/05/1981";"01/02/1993"; ; 
"CV-ARP000001-A";"B";"BAJA";"AP";"A PERNOCTA";"AREA PLA ALICANTE";"03";"ALACANT";"014";"ALACANT/ALICANTE";"03540";"AVENIDA COSTABLANCA, 141";"AV";"AVENIDA";"COSTABLANCA";"141";"enevado@areaspla.com"; ;"A";"AREA PERNOCTA";"41"; ; ; ; ; ;"123";"23/08/2017";"01/11/2021";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00020 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"BAHIA";"03";"ALACANT";"014";"ALACANT/ALICANTE"; ;"AVENIDA COSTA BLANCA, 001";"AV";"AVENIDA";"COSTA BLANCA";"001"; ; ; ; ;"196";"588"; ; ;"2100";"105";"693";"06/01/1982";"13/01/1997";"15/03 - 15/10";"De Lunes a Domingo"
"CV-CAM000068-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"CAP BLANCH";"03";"ALACANT";"018";"ALTEA";"03590";"PLAYA ALBIR, S/N";"PY";"PLAYA";"ALBIR";"S/N";"capblanch@ctv.es";"http://www.camping-capblanch.com";"C";"CAMPING";"333";"933";"22";"66"; ; ;"999";"11/11/1988"; ;"SIEMPRE ABIERTO"; 
"CV C00054 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"CAP NEGRET";"03";"ALACANT";"018";"ALTEA"; ;"PDA. CAP NEGRET, 001"; ; ;"PDA. CAP NEGRET";"001"; ; ; ; ;"90"; ; ; ; ; ;"300";"12/06/1976";"07/03/1996";"01/04 - 30/09";"De Lunes a Domingo"
"CV C00026 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"MIAMI";"03";"ALACANT";"018";"ALTEA";"03590";"PARTIDA CAP BLANCH, 1";"PD";"PARTIDA";"CAP BLANCH";"1"; ; ; ; ;"88";"264";"2";"6";"593";"30";"300";"12/04/1969";"23/10/2002";"01/04 - 30/09";"De Lunes a Domingo"
"CV C00015 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"SAN ANTONIO";"03";"ALACANT";"018";"ALTEA";"03590";"CARRETERA ALBIR, 000";"CR";"CARRETERA";"ALBIR";"000"; ; ; ; ;"106";"120"; ; ;"102921";"30";"150";"29/12/1967";"12/09/1996";"01/04 - 30/09";"De Lunes a Domingo"
"CV-CAM000089-A";"A";"ALTA";"2e";"DOS ESTRELLAS";"SAN ANTONIO";"03";"ALACANT";"018";"ALTEA";"03590";"CARRETERA ALBIR, 6";"CR";"CARRETERA";"ALBIR";"6";"info@sanantonioaltea.com";"http://sanantonioaltea.com";"C";"CAMPING";"52";"156";"0";"0";"0";"0";"156";"19/12/2011"; ;"19/09 - 14/05";"De Lunes a Domingo"
"CV-CAM000099-A";"A";"ALTA";"1e";"UNA ESTRELLA";"SANTA CLARA";"03";"ALACANT";"018";"ALTEA";"03590";"PARTIDA CAP BLANCH, 11";"PD";"PARTIDA";"CAP BLANCH";"11";"campingsantaclaraaltea@gmail.com";"http://www.campingsantaclaraaltea.com";"C";"CAMPING";"19";"48";"3";"6";"368";"12";"66";"08/04/2016"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00092 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"SANTA CLARA";"03";"ALACANT";"018";"ALTEA";"03590";"PARTIDA CAP BLANC, 11";"PD";"PARTIDA";"CAP BLANC";"11";"jmgre1@hotmail.com"; ;"C";"CAMPING";"30";"90"; ; ; ; ;"90";"05/09/2014";"11/06/2015";"SIEMPRE ABIERTO";"De Lunes a Domingo"
