"Signatura";"Cod. Estado";"Estado";"Cod. Categoria";"Categoría";"Nombre";"Cod. Provincia";"Provincia";"Cod. Municipio";"Municipio";"Comarca";"CP";"Dirección";"Cod. Tipo Via";"Tipo Via";"Via";"Número";"Email";"Web";"Cod. Grupo";"Grupo";"Cod. Modalidad";"Modalidad";"Habitaciones";"Plazas";"Cod. Cadena";"Cadena";"Fecha Alta";"Fecha Baja";"Periodo";"Días periodo";
"CV H01188 A";"B";"BAJA";"0";"PENSIÓN";"CANALEJAS";"03";"ALACANT";"004";"AIGÜES";"L'ALACANTI";"03569";"CALLE CANALEJAS, 1";"C";"CALLE";"CANALEJAS";"1"; ; ;"P";"PENSIÓN";"P";"PENSIÓN";"7";"12";"NCD";"NO PERTENECE A NINGUNA CADENA";"12/04/1999";"27/01/2005";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01289 A";"A";"ALTA";"1";"1 ESTRELLA";"ESTACIÓN DE SERVICIO LOS MARTÍNEZ";"03";"ALACANT";"005";"ALBATERA";"EL BAIX SEGURA/LA VEGA BAJA";"03340";"CARRETERA NACIONAL 340, KM. 696,7";"CR";"CARRETERA";"NACIONAL 340, KM. 696,7"; ; ; ;"HS";"HOSTAL";"HS";"HOSTAL";"23";"42";"NCD";"NO PERTENECE A NINGUNA CADENA";"05/03/2004"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H00701 A";"B";"BAJA";"0";"PENSIÓN";"LOS ANGELES";"03";"ALACANT";"005";"ALBATERA";"EL BAIX SEGURA/LA VEGA BAJA";"03340";"CALLE BARRIO LOS ANGELES, 6";"C";"CALLE";"BARRIO LOS ANGELES";"6"; ; ;"P";"PENSIÓN";"P";"PENSIÓN";"4";"6";"NCD";"NO PERTENECE A NINGUNA CADENA";"30/12/1969";"16/09/1992";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H00097 A";"B";"BAJA";"1";"1 ESTRELLA";"MOS DEL BOU";"03";"ALACANT";"005";"ALBATERA";"EL BAIX SEGURA/LA VEGA BAJA";"03340";"CARRETERA ALICANTE-MURCIA, KM. 35, KM. 35";"CR";"CARRETERA";"ALICANTE-MURCIA, KM. 35";"KM. 35"; ; ;"HS";"HOSTAL";"SR";"HOSTAL-RESIDENCIA";"25";"49";"NCD";"NO PERTENECE A NINGUNA CADENA";"21/03/1962";"29/05/2009";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01415 A";"A";"ALTA";"3";"3 ESTRELLAS";"CASTELL DE LA SOLANA";"03";"ALACANT";"006";"ALCALALÍ";"LA MARINA ALTA";"03728";"PARTIDA LA COMA";"PD";"PARTIDA";"LA COMA"; ;"info@castelldelasolana.es";"https://castelldelasolana.es";"H";"HOTEL";"H";"HOTEL";"7";"14";"NCD";"NO PERTENECE A NINGUNA CADENA";"06/08/2014"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01371 A";"A";"ALTA";"2";"2 ESTRELLAS";"MASÍA LA MOTA";"03";"ALACANT";"009";"ALCOI/ALCOY";"L'ALCOIA";"03801";"CARRETERA FONT ROJA, KM. 5";"CR";"CARRETERA";"FONT ROJA";"KM. 5";"reservas@masialamota.com";"http://www.masialamota.com";"H";"HOTEL";"H";"HOTEL";"12";"25";"NCD";"NO PERTENECE A NINGUNA CADENA";"31/07/2009"; ; ; 
"CV H00606 A";"A";"ALTA";"3";"3 ESTRELLAS";"RECONQUISTA";"03";"ALACANT";"009";"ALCOI/ALCOY";"L'ALCOIA";"03800";"AVENIDA PONT DE SANT JORDI, 1";"AV";"AVENIDA";"PONT DE SANT JORDI";"1";"reconquista@hotelreconquista.es";"http://www.hotelreconquista.es";"H";"HOTEL";"H";"HOTEL";"98";"196";"NCD";"NO PERTENECE A NINGUNA CADENA";"06/11/1969"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H00108 A";"A";"ALTA";"1";"1 ESTRELLA";"SAVOY";"03";"ALACANT";"009";"ALCOI/ALCOY";"L'ALCOIA";"03800";"CALLE CASABLANCA, 9";"C";"CALLE";"CASABLANCA";"9";"savoy@hostalsavoy.com";"http://www.hostalsavoy.com";"HS";"HOSTAL";"HS";"HOSTAL";"28";"61";"NCD";"NO PERTENECE A NINGUNA CADENA";"16/02/1967"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01309 A";"A";"ALTA";"4";"4 ESTRELLAS";"SERCOTEL CIUTAT D'ALCOI";"03";"ALACANT";"009";"ALCOI/ALCOY";"L'ALCOIA";"03802";"CALLE COLÓN, 1";"C";"CALLE";"COLÓN";"1";"recepcion@sercotelciutatdalcoi.com";"https://www.sercotelciutatdalcoi.com";"H";"HOTEL";"H";"HOTEL";"84";"170";"SEC";"SERCOTEL";"15/07/2005"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV H01298 A";"A";"ALTA";"4";"4 ESTRELLAS";"ALBIR PLAYA HOTEL";"03";"ALACANT";"011";"L'ALFÀS DEL PI";"LA MARINA BAIXA";"03581";"CAMINO VIEJO DE ALTEA, 51";"CM";"CAMINO";"VIEJO DE ALTEA";"51";"reservas@albirplayahotel.com";"http://www.albirplayahotel.com";"H";"HOTEL";"H";"HOTEL";"202";"406";"NCD";"NO PERTENECE A NINGUNA CADENA";"27/05/2004"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
