"Periodo";"Municipios";"Sexo";"Edad";"Valor"
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"95 y más años";82
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 0 a 4 años";3858
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 10 a 14 años";3665
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 15 a 19 años";3853
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 20 a 24 años";4281
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 25 a 29 años";5271
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 30 a 34 años";6981
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 35 a 39 años";7397
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 40 a 44 años";6986
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 45 a 49 años";6330
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 5 a 9 años";4110
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 50 a 54 años";5524
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 55 a 59 años";5028
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 60 a 64 años";5818
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 65 a 69 años";6518
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 70 a 74 años";6075
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 75 a 79 años";4572
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 80 a 84 años";2484
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 85 a 89 años";1107
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"De 90 a 94 años";345
"1 de enero de 2012";"03133 - Torrevieja";"Ambos sexos";"Total";90285
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"95 y más años";22
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 0 a 4 años";2020
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 10 a 14 años";1878
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 15 a 19 años";2002
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 20 a 24 años";2185
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 25 a 29 años";2599
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 30 a 34 años";3618
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 35 a 39 años";3951
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 40 a 44 años";3714
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 45 a 49 años";3227
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 5 a 9 años";2159
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 50 a 54 años";2823
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 55 a 59 años";2382
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 60 a 64 años";2692
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 65 a 69 años";3169
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 70 a 74 años";2983
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 75 a 79 años";2374
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 80 a 84 años";1188
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 85 a 89 años";458
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"De 90 a 94 años";132
"1 de enero de 2012";"03133 - Torrevieja";"Hombres";"Total";45576
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"95 y más años";60
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 0 a 4 años";1838
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 10 a 14 años";1787
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 15 a 19 años";1851
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 20 a 24 años";2096
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 25 a 29 años";2672
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 30 a 34 años";3363
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 35 a 39 años";3446
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 40 a 44 años";3271
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 45 a 49 años";3103
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 5 a 9 años";1951
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 50 a 54 años";2701
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 55 a 59 años";2646
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 60 a 64 años";3126
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 65 a 69 años";3349
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 70 a 74 años";3092
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 75 a 79 años";2198
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 80 a 84 años";1297
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 85 a 89 años";649
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"De 90 a 94 años";214
"1 de enero de 2012";"03133 - Torrevieja";"Mujeres";"Total";44709
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"95 y más años";89
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 0 a 4 años";3729
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 10 a 14 años";3774
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 15 a 19 años";3843
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 20 a 24 años";4321
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 25 a 29 años";5158
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 30 a 34 años";6700
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 35 a 39 años";7553
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 40 a 44 años";7164
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 45 a 49 años";6612
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 5 a 9 años";4246
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 50 a 54 años";5856
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 55 a 59 años";5068
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 60 a 64 años";5749
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 65 a 69 años";6798
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 70 a 74 años";6096
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 75 a 79 años";4861
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 80 a 84 años";2770
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 85 a 89 años";1213
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"De 90 a 94 años";390
"1 de enero de 2013";"03133 - Torrevieja";"Ambos sexos";"Total";91990
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"95 y más años";25
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 0 a 4 años";1965
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 10 a 14 años";1974
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 15 a 19 años";1971
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 20 a 24 años";2239
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 25 a 29 años";2535
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 30 a 34 años";3414
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 35 a 39 años";4061
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 40 a 44 años";3825
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 45 a 49 años";3443
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 5 a 9 años";2195
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 50 a 54 años";2956
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 55 a 59 años";2426
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 60 a 64 años";2702
"1 de enero de 2013";"03133 - Torrevieja";"Hombres";"De 65 a 69 años";3247
