"Periodo";"Municipios";"Sexo";"Edad (grupos quinquenales)";"Valor"
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 0 a 4 años";3158
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 10 a 14 años";4353
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 15 a 19 años";3956
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 20 a 24 años";3889
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 25 a 29 años";4186
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 30 a 34 años";4663
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 35 a 39 años";5516
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 40 a 44 años";6606
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 45 a 49 años";6705
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 5 a 9 años";3729
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 50 a 54 años";6349
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 55 a 59 años";5881
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 60 a 64 años";5256
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 65 a 69 años";5242
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 70 a 74 años";5254
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 75 a 79 años";4144
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 80 a 84 años";2775
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 85 a 89 años";1509
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"De 90 o más";569
"1 de enero de 2021";"03133 - Torrevieja";"Ambos sexos";"Total";83740
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 0 a 4 años";1630
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 10 a 14 años";2247
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 15 a 19 años";2035
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 20 a 24 años";1969
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 25 a 29 años";2150
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 30 a 34 años";2376
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 35 a 39 años";2644
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 40 a 44 años";3292
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 45 a 49 años";3357
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 5 a 9 años";1956
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 50 a 54 años";3189
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 55 a 59 años";2861
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 60 a 64 años";2493
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 65 a 69 años";2454
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 70 a 74 años";2516
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 75 a 79 años";1985
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 80 a 84 años";1240
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 85 a 89 años";646
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"De 90 o más";176
"1 de enero de 2021";"03133 - Torrevieja";"Hombres";"Total";41216
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 0 a 4 años";1528
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 10 a 14 años";2106
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 15 a 19 años";1921
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 20 a 24 años";1920
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 25 a 29 años";2036
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 30 a 34 años";2287
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 35 a 39 años";2872
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 40 a 44 años";3314
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 45 a 49 años";3348
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 5 a 9 años";1773
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 50 a 54 años";3160
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 55 a 59 años";3020
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 60 a 64 años";2763
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 65 a 69 años";2788
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 70 a 74 años";2738
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 75 a 79 años";2159
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 80 a 84 años";1535
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 85 a 89 años";863
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"De 90 o más";393
"1 de enero de 2021";"03133 - Torrevieja";"Mujeres";"Total";42524
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 0 a 4 años";3074
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 10 a 14 años";4248
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 15 a 19 años";4166
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 20 a 24 años";3837
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 25 a 29 años";4131
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 30 a 34 años";4544
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 35 a 39 años";5365
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 40 a 44 años";6371
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 45 a 49 años";6796
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 5 a 9 años";3654
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 50 a 54 años";6544
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 55 a 59 años";6024
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 60 a 64 años";5603
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 65 a 69 años";5428
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 70 a 74 años";5215
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 75 a 79 años";4198
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 80 a 84 años";2705
"1 de enero de 2022";"03133 - Torrevieja";"Ambos sexos";"De 85 a 89 años";1470
