CCAA y provincia de origen,CCAA y provincia de origen.1,CCAA y provincia de origen.2,Municipio de destino,Concepto turístico,Periodo,Total
Total Nacional,,,03133 Torrevieja,Turistas,2025M12,20.376
Total Nacional,,,03133 Torrevieja,Turistas,2025M11,20.457
Total Nacional,,,03133 Torrevieja,Turistas,2025M10,20.421
Total Nacional,,,03133 Torrevieja,Turistas,2025M09,43.686
Total Nacional,,,03133 Torrevieja,Turistas,2025M08,109.708
Total Nacional,,,03133 Torrevieja,Turistas,2025M07,83.537
Total Nacional,,,03133 Torrevieja,Turistas,2025M06,51.897
Total Nacional,,,03133 Torrevieja,Turistas,2025M05,36.609
Total Nacional,,,03133 Torrevieja,Turistas,2025M04,48.623
Total Nacional,,,03133 Torrevieja,Turistas,2025M03,22.125
Total Nacional,,,03133 Torrevieja,Turistas,2025M02,19.755
Total Nacional,,,03133 Torrevieja,Turistas,2025M01,22.070
Total Nacional,,,03133 Torrevieja,Turistas,2024M12,27.016
Total Nacional,,,03133 Torrevieja,Turistas,2024M11,21.353
Total Nacional,,,03133 Torrevieja,Turistas,2024M10,25.671
Total Nacional,,,03133 Torrevieja,Turistas,2024M09,54.494
Total Nacional,,,03133 Torrevieja,Turistas,2024M08,127.808
Total Nacional,,,03133 Torrevieja,Turistas,2024M07,99.930
Total Nacional,,,03133 Torrevieja,Turistas,2024M06,49.444
Total Nacional,,,03133 Torrevieja,Turistas,2024M05,40.810
Total Nacional,,,03133 Torrevieja,Turistas,2024M04,39.383
Total Nacional,,,03133 Torrevieja,Turistas,2024M03,40.996
Total Nacional,,,03133 Torrevieja,Turistas,2024M02,19.946
Total Nacional,,,03133 Torrevieja,Turistas,2024M01,21.411
Total Nacional,,,03133 Torrevieja,Turistas,2023M12,29.532
Total Nacional,,,03133 Torrevieja,Turistas,2023M11,20.061
Total Nacional,,,03133 Torrevieja,Turistas,2023M10,35.506
Total Nacional,,,03133 Torrevieja,Turistas,2023M09,49.018
Total Nacional,,,03133 Torrevieja,Turistas,2023M08,137.044
Total Nacional,,,03133 Torrevieja,Turistas,2023M07,110.606
