Municipios;Sexo;Periodo;Total
03133 Torrevieja;Total;2025;98.533
03133 Torrevieja;Total;2024;94.803
03133 Torrevieja;Total;2023;89.290
03133 Torrevieja;Total;2022;83.547
03133 Torrevieja;Total;2021;82.842
03133 Torrevieja;Total;2020;84.667
03133 Torrevieja;Total;2019;83.337
03133 Torrevieja;Total;2018;82.599
03133 Torrevieja;Total;2017;83.252
03133 Torrevieja;Total;2016;84.213
03133 Torrevieja;Total;2015;88.447
03133 Torrevieja;Total;2014;91.415
03133 Torrevieja;Total;2013;105.205
03133 Torrevieja;Total;2012;103.720
03133 Torrevieja;Total;2011;102.136
03133 Torrevieja;Total;2010;101.091
03133 Torrevieja;Total;2009;101.792
03133 Torrevieja;Total;2008;101.381
03133 Torrevieja;Total;2007;94.006
03133 Torrevieja;Total;2006;92.034
03133 Torrevieja;Total;2005;84.348
03133 Torrevieja;Total;2004;75.530
03133 Torrevieja;Total;2003;77.943
03133 Torrevieja;Total;2002;69.763
03133 Torrevieja;Total;2001;58.828
03133 Torrevieja;Total;2000;50.189
03133 Torrevieja;Total;1999;42.278
03133 Torrevieja;Total;1998;38.336
03133 Torrevieja;Total;1997;""
03133 Torrevieja;Total;1996;35.998
03133 Torrevieja;Hombres;2025;48.266
03133 Torrevieja;Hombres;2024;46.076
03133 Torrevieja;Hombres;2023;43.252
03133 Torrevieja;Hombres;2022;41.023
03133 Torrevieja;Hombres;2021;40.721
03133 Torrevieja;Hombres;2020;41.717
03133 Torrevieja;Hombres;2019;41.269
03133 Torrevieja;Hombres;2018;41.038
03133 Torrevieja;Hombres;2017;41.527
03133 Torrevieja;Hombres;2016;42.302
03133 Torrevieja;Hombres;2015;44.526
03133 Torrevieja;Hombres;2014;46.089
03133 Torrevieja;Hombres;2013;53.027
03133 Torrevieja;Hombres;2012;52.271
03133 Torrevieja;Hombres;2011;51.446
03133 Torrevieja;Hombres;2010;51.161
03133 Torrevieja;Hombres;2009;51.781
03133 Torrevieja;Hombres;2008;52.035
03133 Torrevieja;Hombres;2007;48.362
03133 Torrevieja;Hombres;2006;47.714
03133 Torrevieja;Hombres;2005;43.440
03133 Torrevieja;Hombres;2004;38.709
03133 Torrevieja;Hombres;2003;39.515
03133 Torrevieja;Hombres;2002;35.186
03133 Torrevieja;Hombres;2001;29.297
03133 Torrevieja;Hombres;2000;24.782
03133 Torrevieja;Hombres;1999;20.906
03133 Torrevieja;Hombres;1998;18.890
03133 Torrevieja;Hombres;1997;""
03133 Torrevieja;Hombres;1996;17.709
03133 Torrevieja;Mujeres;2025;50.267
03133 Torrevieja;Mujeres;2024;48.727
03133 Torrevieja;Mujeres;2023;46.038
03133 Torrevieja;Mujeres;2022;42.524
03133 Torrevieja;Mujeres;2021;42.121
03133 Torrevieja;Mujeres;2020;42.950
03133 Torrevieja;Mujeres;2019;42.068
03133 Torrevieja;Mujeres;2018;41.561
03133 Torrevieja;Mujeres;2017;41.725
03133 Torrevieja;Mujeres;2016;41.911
03133 Torrevieja;Mujeres;2015;43.921
03133 Torrevieja;Mujeres;2014;45.326
03133 Torrevieja;Mujeres;2013;52.178
03133 Torrevieja;Mujeres;2012;51.449
03133 Torrevieja;Mujeres;2011;50.690
03133 Torrevieja;Mujeres;2010;49.930
03133 Torrevieja;Mujeres;2009;50.011
03133 Torrevieja;Mujeres;2008;49.346
03133 Torrevieja;Mujeres;2007;45.644
03133 Torrevieja;Mujeres;2006;44.320
03133 Torrevieja;Mujeres;2005;40.908
03133 Torrevieja;Mujeres;2004;36.821
03133 Torrevieja;Mujeres;2003;38.428
03133 Torrevieja;Mujeres;2002;34.577
03133 Torrevieja;Mujeres;2001;29.531
03133 Torrevieja;Mujeres;2000;25.407
03133 Torrevieja;Mujeres;1999;21.372
03133 Torrevieja;Mujeres;1998;19.446
03133 Torrevieja;Mujeres;1997;""
03133 Torrevieja;Mujeres;1996;18.289
