"Periodo";"Municipios";"Sexo";"Edad";"Valor"
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 0 a 4 años";2363
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 10 a 14 años";2502
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 15 a 19 años";2595
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 20 a 24 años";3597
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 25 a 29 años";4008
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 30 a 34 años";4240
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 35 a 39 años";3887
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 40 a 44 años";3341
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 45 a 49 años";2927
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 5 a 9 años";2333
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 50 a 54 años";2950
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 55 a 59 años";3457
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 60 a 64 años";4114
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 65 a 69 años";4196
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 70 a 74 años";3107
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 75 a 79 años";1759
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 80 a 84 años";849
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 85 a 89 años";361
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"De 90 y más años";126
"1 de enero de 2002";"03133 - Torrevieja";"Ambos sexos";"Total";52711
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 0 a 4 años";1217
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 10 a 14 años";1264
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 15 a 19 años";1321
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 20 a 24 años";1803
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 25 a 29 años";2070
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 30 a 34 años";2194
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 35 a 39 años";1990
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 40 a 44 años";1764
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 45 a 49 años";1471
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 5 a 9 años";1202
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 50 a 54 años";1373
"1 de enero de 2002";"03133 - Torrevieja";"Hombres";"De 55 a 59 años";1673
