Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
Total;Viajes;Valor absoluto;2025;175.702.648
Total;Viajes;Valor absoluto;2024;184.431.108
Total;Viajes;Valor absoluto;2023;185.895.163
Total;Viajes;Valor absoluto;2022;171.388.138
Total;Viajes;Valor absoluto;2021;142.893.461
Total;Viajes;Valor absoluto;2020;101.523.862
Total;Viajes;Valor absoluto;2019;193.874.716
Total;Viajes;Valor absoluto;2018;196.079.470
Total;Duración media de los viajes;Valor absoluto;2025;4,49
Total;Duración media de los viajes;Valor absoluto;2024;4,40
Total;Duración media de los viajes;Valor absoluto;2023;4,31
Total;Duración media de los viajes;Valor absoluto;2022;4,35
Total;Duración media de los viajes;Valor absoluto;2021;4,38
Total;Duración media de los viajes;Valor absoluto;2020;4,86
Total;Duración media de los viajes;Valor absoluto;2019;4,09
Total;Duración media de los viajes;Valor absoluto;2018;4,06
Total;Pernoctaciones;Valor absoluto;2025;788.401.749
Total;Pernoctaciones;Valor absoluto;2024;811.180.874
Total;Pernoctaciones;Valor absoluto;2023;802.083.174
Total;Pernoctaciones;Valor absoluto;2022;745.821.861
Total;Pernoctaciones;Valor absoluto;2021;626.172.389
Total;Pernoctaciones;Valor absoluto;2020;493.409.224
Total;Pernoctaciones;Valor absoluto;2019;793.908.137
Total;Pernoctaciones;Valor absoluto;2018;796.139.237
Total;Gasto total;Valor absoluto;2025;63.853.442,10
Total;Gasto total;Valor absoluto;2024;62.233.116,14
Total;Gasto total;Valor absoluto;2023;58.750.025,65
Total;Gasto total;Valor absoluto;2022;50.292.009,69
Total;Gasto total;Valor absoluto;2021;32.520.685,15
Total;Gasto total;Valor absoluto;2020;21.135.056,78
Total;Gasto total;Valor absoluto;2019;48.065.843,70
Total;Gasto total;Valor absoluto;2018;46.942.957,60
Total;Gasto medio por persona;Valor absoluto;2025;363,42
Total;Gasto medio por persona;Valor absoluto;2024;337,43
Total;Gasto medio por persona;Valor absoluto;2023;316,04
Total;Gasto medio por persona;Valor absoluto;2022;293,44
Total;Gasto medio por persona;Valor absoluto;2021;227,59
Total;Gasto medio por persona;Valor absoluto;2020;208,18
Total;Gasto medio por persona;Valor absoluto;2019;247,92
Total;Gasto medio por persona;Valor absoluto;2018;239,41
Total;Gasto medio diario por persona;Valor absoluto;2025;80,99
Total;Gasto medio diario por persona;Valor absoluto;2024;76,72
Total;Gasto medio diario por persona;Valor absoluto;2023;73,25
Total;Gasto medio diario por persona;Valor absoluto;2022;67,43
Total;Gasto medio diario por persona;Valor absoluto;2021;51,94
Total;Gasto medio diario por persona;Valor absoluto;2020;42,83
Total;Gasto medio diario por persona;Valor absoluto;2019;60,54
Total;Gasto medio diario por persona;Valor absoluto;2018;58,96
Extranjera;Viajes;Valor absoluto;2025;22.756.737
Extranjera;Viajes;Valor absoluto;2024;21.623.478
Extranjera;Viajes;Valor absoluto;2023;19.290.525
Extranjera;Viajes;Valor absoluto;2022;16.135.111
Extranjera;Viajes;Valor absoluto;2021;7.205.752
Extranjera;Viajes;Valor absoluto;2020;5.074.468
Extranjera;Viajes;Valor absoluto;2019;20.119.745
Extranjera;Viajes;Valor absoluto;2018;19.307.118
Extranjera;Duración media de los viajes;Valor absoluto;2025;7,90
Extranjera;Duración media de los viajes;Valor absoluto;2024;8,18
Extranjera;Duración media de los viajes;Valor absoluto;2023;8,21
Extranjera;Duración media de los viajes;Valor absoluto;2022;8,53
Extranjera;Duración media de los viajes;Valor absoluto;2021;9,56
Extranjera;Duración media de los viajes;Valor absoluto;2020;8,42
Extranjera;Duración media de los viajes;Valor absoluto;2019;7,18
Extranjera;Duración media de los viajes;Valor absoluto;2018;7,86
Extranjera;Pernoctaciones;Valor absoluto;2025;179.851.889
Extranjera;Pernoctaciones;Valor absoluto;2024;176.908.310
Extranjera;Pernoctaciones;Valor absoluto;2023;158.454.126
Extranjera;Pernoctaciones;Valor absoluto;2022;137.586.355
Extranjera;Pernoctaciones;Valor absoluto;2021;68.893.926
Extranjera;Pernoctaciones;Valor absoluto;2020;42.719.916
Extranjera;Pernoctaciones;Valor absoluto;2019;144.391.738
Extranjera;Pernoctaciones;Valor absoluto;2018;151.773.267
Extranjera;Gasto total;Valor absoluto;2025;23.561.905,93
Extranjera;Gasto total;Valor absoluto;2024;21.813.355,42
Extranjera;Gasto total;Valor absoluto;2023;19.051.663,09
Extranjera;Gasto total;Valor absoluto;2022;14.860.148,62
Extranjera;Gasto total;Valor absoluto;2021;5.411.731,29
Extranjera;Gasto total;Valor absoluto;2020;3.576.611,44
Extranjera;Gasto total;Valor absoluto;2019;16.051.837,51
Extranjera;Gasto total;Valor absoluto;2018;16.081.752,60
Extranjera;Gasto medio por persona;Valor absoluto;2025;1.035,38
Extranjera;Gasto medio por persona;Valor absoluto;2024;1.008,78
Extranjera;Gasto medio por persona;Valor absoluto;2023;987,62
Extranjera;Gasto medio por persona;Valor absoluto;2022;920,98
Extranjera;Gasto medio por persona;Valor absoluto;2021;751,03
Extranjera;Gasto medio por persona;Valor absoluto;2020;704,82
Extranjera;Gasto medio por persona;Valor absoluto;2019;797,82
Extranjera;Gasto medio por persona;Valor absoluto;2018;832,94
Extranjera;Gasto medio diario por persona;Valor absoluto;2025;131,01
Extranjera;Gasto medio diario por persona;Valor absoluto;2024;123,30
Extranjera;Gasto medio diario por persona;Valor absoluto;2023;120,23
Extranjera;Gasto medio diario por persona;Valor absoluto;2022;108,01
Extranjera;Gasto medio diario por persona;Valor absoluto;2021;78,55
Extranjera;Gasto medio diario por persona;Valor absoluto;2020;83,72
Extranjera;Gasto medio diario por persona;Valor absoluto;2019;111,17
Extranjera;Gasto medio diario por persona;Valor absoluto;2018;105,96
España;Viajes;Valor absoluto;2025;152.945.911
España;Viajes;Valor absoluto;2024;162.807.630
España;Viajes;Valor absoluto;2023;166.604.638
España;Viajes;Valor absoluto;2022;155.253.027
España;Viajes;Valor absoluto;2021;135.687.709
España;Viajes;Valor absoluto;2020;96.449.394
España;Viajes;Valor absoluto;2019;173.754.971
España;Viajes;Valor absoluto;2018;176.772.352
España;Duración media de los viajes;Valor absoluto;2025;3,98
España;Duración media de los viajes;Valor absoluto;2024;3,90
España;Duración media de los viajes;Valor absoluto;2023;3,86
España;Duración media de los viajes;Valor absoluto;2022;3,92
España;Duración media de los viajes;Valor absoluto;2021;4,11
España;Duración media de los viajes;Valor absoluto;2020;4,67
España;Duración media de los viajes;Valor absoluto;2019;3,74
España;Duración media de los viajes;Valor absoluto;2018;3,65
España;Pernoctaciones;Valor absoluto;2025;608.549.861
España;Pernoctaciones;Valor absoluto;2024;634.272.564
España;Pernoctaciones;Valor absoluto;2023;643.629.048
España;Pernoctaciones;Valor absoluto;2022;608.235.505
España;Pernoctaciones;Valor absoluto;2021;557.278.462
España;Pernoctaciones;Valor absoluto;2020;450.689.308
España;Pernoctaciones;Valor absoluto;2019;649.516.399
España;Pernoctaciones;Valor absoluto;2018;644.365.970
España;Gasto total;Valor absoluto;2025;40.291.536,17
España;Gasto total;Valor absoluto;2024;40.419.760,72
España;Gasto total;Valor absoluto;2023;39.698.362,56
España;Gasto total;Valor absoluto;2022;35.431.861,07
España;Gasto total;Valor absoluto;2021;27.108.953,86
España;Gasto total;Valor absoluto;2020;17.558.445,34
España;Gasto total;Valor absoluto;2019;32.014.006,19
España;Gasto total;Valor absoluto;2018;30.861.205,00
España;Gasto medio por persona;Valor absoluto;2025;263,44
España;Gasto medio por persona;Valor absoluto;2024;248,27
España;Gasto medio por persona;Valor absoluto;2023;238,28
España;Gasto medio por persona;Valor absoluto;2022;228,22
España;Gasto medio por persona;Valor absoluto;2021;199,79
España;Gasto medio por persona;Valor absoluto;2020;182,05
España;Gasto medio por persona;Valor absoluto;2019;184,25
España;Gasto medio por persona;Valor absoluto;2018;174,58
España;Gasto medio diario por persona;Valor absoluto;2025;66,21
España;Gasto medio diario por persona;Valor absoluto;2024;63,73
España;Gasto medio diario por persona;Valor absoluto;2023;61,68
España;Gasto medio diario por persona;Valor absoluto;2022;58,25
España;Gasto medio diario por persona;Valor absoluto;2021;48,65
España;Gasto medio diario por persona;Valor absoluto;2020;38,96
España;Gasto medio diario por persona;Valor absoluto;2019;49,29
España;Gasto medio diario por persona;Valor absoluto;2018;47,89
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2025;70.780.532
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2024;79.867.265
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2023;81.330.805
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2022;79.058.162
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2021;77.158.753
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2020;57.493.722
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2019;90.679.508
Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2018;93.045.759
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2025;3,15
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2024;3,06
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2023;2,96
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2022;3,10
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2021;3,20
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2020;3,67
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2019;2,92
Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2018;2,81
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2025;222.720.801
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2024;244.447.131
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2023;240.473.683
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2022;245.440.219
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2021;246.592.875
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2020;210.984.725
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2019;264.776.360
Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2018;261.643.807
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2025;10.986.704,88
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2024;11.483.743,24
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2023;11.273.027,78
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2022;10.511.006,55
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2021;9.030.158,49
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2020;6.523.992,52
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2019;9.551.900,45
Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2018;9.073.123,82
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2025;155,22
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2024;143,79
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2023;138,61
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2022;132,95
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2021;117,03
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2020;113,47
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2019;105,34
Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2018;97,51
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2025;49,33
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2024;46,98
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2023;46,88
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2022;42,83
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2021;36,62
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2020;30,92
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2019;36,08
Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2018;34,68
Dentro de la provincia;Viajes;Valor absoluto;2025;37.872.763
Dentro de la provincia;Viajes;Valor absoluto;2024;45.230.804
Dentro de la provincia;Viajes;Valor absoluto;2023;45.145.869
Dentro de la provincia;Viajes;Valor absoluto;2022;44.579.937
Dentro de la provincia;Viajes;Valor absoluto;2021;46.020.316
Dentro de la provincia;Viajes;Valor absoluto;2020;35.871.163
Dentro de la provincia;Viajes;Valor absoluto;2019;54.222.516
Dentro de la provincia;Viajes;Valor absoluto;2018;54.541.106
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2025;3,06
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2024;2,99
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2023;2,82
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2022;2,93
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2021;3,01
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2020;3,55
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2019;2,76
Dentro de la provincia;Duración media de los viajes;Valor absoluto;2018;2,69
Dentro de la provincia;Pernoctaciones;Valor absoluto;2025;115.736.516
Dentro de la provincia;Pernoctaciones;Valor absoluto;2024;135.087.466
Dentro de la provincia;Pernoctaciones;Valor absoluto;2023;127.315.540
Dentro de la provincia;Pernoctaciones;Valor absoluto;2022;130.549.907
Dentro de la provincia;Pernoctaciones;Valor absoluto;2021;138.392.694
Dentro de la provincia;Pernoctaciones;Valor absoluto;2020;127.479.349
Dentro de la provincia;Pernoctaciones;Valor absoluto;2019;149.574.246
Dentro de la provincia;Pernoctaciones;Valor absoluto;2018;146.571.637
Dentro de la provincia;Gasto total;Valor absoluto;2025;4.412.075,32
Dentro de la provincia;Gasto total;Valor absoluto;2024;4.984.108,07
Dentro de la provincia;Gasto total;Valor absoluto;2023;4.690.879,22
Dentro de la provincia;Gasto total;Valor absoluto;2022;4.350.687,21
Dentro de la provincia;Gasto total;Valor absoluto;2021;3.956.591,11
Dentro de la provincia;Gasto total;Valor absoluto;2020;3.059.638,63
