N de inscripcion;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios;Año_alta;Mes_alta
CV-VUT0517287-A;PAWEL STANISLAW POKRYWA;ALICANTE/ALACANT;TORREVIEJA;03180;CL MAESTRO FRANCISCO CASANOV, 51, Es:5 Pl:02 Pt:23;;2025-06-19;4467201YH0046N0263AJ;;N;62.0;4;N;2.0;4;0.0;0;2.0;2025;6
CV-VUT0517499-A;;ALICANTE/ALACANT;TORREVIEJA;03188;CL MAYOR-MATA, 75, Es:1 Pl:02 Pt:J;;2025-07-02;5917601YH0151N0049KL;;N;76.0;6;N;3.0;6;0.0;0;3.0;2025;7
CV-VUT0517500-A;;ALICANTE/ALACANT;TORREVIEJA;03182;CL VIRGEN DE LA PALOMA, 41, Es:1 Pl:01 Pt:0F;;2025-07-02;4664107YH0046S0008PT;;N;87.0;6;N;2.0;4;2.0;2;4.0;2025;7
CV-VUT0517950-A;;ALICANTE/ALACANT;TORREVIEJA;03181;CL SAN PASCUAL, 71, Es:1 Pl:03 Pt:G;;2025-07-29;3262318YH0036S0046PR;;N;33.0;2;N;1.0;2;0.0;0;1.0;2025;7
CV-VUT0518418-A;apestrella;ALICANTE/ALACANT;TORREVIEJA;03180;CL BAZAN, 90, Es:D Pl:01 Pt:05;;2025-09-11;3667401YH0036N0418SS;;N;81.0;4;N;2.0;4;0.0;0;2.0;2025;9
CV-VUT0517839-A;;ALICANTE/ALACANT;TORREVIEJA;03182;CL GASES LOS, 14, Es:1 Pl:01 Pt:A;;2025-07-23;4565915YH0046N0004RH;;N;75.0;4;N;2.0;4;0.0;0;2.0;2025;7
CV-VUT0517911-A;GINA ESMERALDA ALTAMIRANO HERNÁNDEZ;ALICANTE/ALACANT;TORREVIEJA;03183;CL GANDI, 62, Pl:03 Pt:04;;2025-07-28;5676102YH0057N0099KD;;N;15.0;2;N;1.0;2;0.0;0;1.0;2025;7
CV-VUT0516938-A;;ALICANTE/ALACANT;TORREVIEJA;03185;CL CICLON, 1, Es:3 Pl:05 Pt:B1;;2025-06-05;1621801YH0012S0114EM;;N;128.0;6;N;2.0;4;2.0;2;4.0;2025;6
CV-VUT0516941-A;;ALICANTE/ALACANT;TORREVIEJA;03182;CL VIRGEN DE LA PALOMA, 9, Pl:03 Pt:02;;2025-06-05;4661629YH0046S0012XY;;N;58.0;4;N;1.0;2;2.0;2;3.0;2025;6
CV-VUT0517778-A;;ALICANTE/ALACANT;TORREVIEJA;03182;CL FRAGATA, 25, Pl:01 Pt:02;;2025-07-19;4865804YH0046N0004LH;;N;52.0;2;N;1.0;2;0.0;0;1.0;2025;7
CV-VUT0517781-A;CALLE SAN PASCUAL;ALICANTE/ALACANT;TORREVIEJA;03180;CL SAN PASCUAL, 297, Pl:04 Pt:B;;2025-07-21;5065613YH0056N0015ST;;N;66.0;3;N;1.0;2;1.0;1;2.0;2025;7
CV-VUT0518175-A;;ALICANTE/ALACANT;TORREVIEJA;03182;AV HABANERAS DE LAS, 91, Es:1 Pl:03 Pt:03;;2025-08-19;4964906YH0046S0012PY;;N;64.0;3;N;1.0;2;1.0;1;2.0;2025;8
CV-VUT0518297-A;;ALICANTE/ALACANT;TORREVIEJA;03184;CL RUBEN DARIO, 24, Es:T Pl:OD Pt:OS;;2025-09-02;2571210YH0027S0001OU;;N;75.0;4;N;2.0;4;0.0;0;2.0;2025;9
CV-VUT0518308-A;Casa de Momentos Felices;ALICANTE/ALACANT;TORREVIEJA;03180;AV PARIS, 132, Es:4 Pl:00 Pt:61;;2025-09-03;5374302YH0057S0045QT;;N;57.0;4;N;2.0;4;0.0;0;2.0;2025;9
CV-VUT0517101-A;;ALICANTE/ALACANT;TORREVIEJA;03182;CL FRAGATA, 1B, Es:1 Pl:02 Pt:09;;2025-06-05;4961103YH0046S0022SD;;N;124.0;5;N;2.0;4;1.0;1;3.0;2025;6
CV-VUT0517105-A;Ramon Cajal 33;ALICANTE/ALACANT;TORREVIEJA;03180;CL RAMON Y CAJAL, 33, Es:1 Pl:03 Pt:A;;2025-06-11;4258614YH0045N0007DW;;N;99.0;6;N;3.0;6;0.0;0;3.0;2025;6
CV-VUT0517187-A;Alicante Stey;ALICANTE/ALACANT;TORREVIEJA;03188;CL ANTONIO GIL-MATA, 14, Es:1 Pl:03 Pt:05;https://alicantestey.com/;2025-06-14;5918904YH0151N0020HL;;N;32.0;2;N;1.0;2;0.0;0;1.0;2025;6
CV-VUT0517204-A;;ALICANTE/ALACANT;TORREVIEJA;03182;CL MAR DEL, 48, Pl:01 Pt:06;;2025-06-16;4262701YH0046S0020IA;;N;69.0;5;N;2.0;4;1.0;1;3.0;2025;6
CV-VUT0517208-A;JAKUB CZYZEWSKI;ALICANTE/ALACANT;TORREVIEJA;03180;AV DIEGO RAMIREZ PASTOR, 174, Es:2 Pl:+1 Pt:T;;2025-06-16;4265607YH0046N0059AP;;N;58.0;4;N;2.0;4;0.0;0;2.0;2025;6
CV-VUT0517728-A;;ALICANTE/ALACANT;TORREVIEJA;03185;CL MAR LLANA, 2, Bloque:3B Es:1 Pl:06 Pt:74;;2025-07-16;1624601YH0012S0243PM;;N;100.0;6;N;3.0;6;0.0;0;3.0;2025;7
CV-VUT0518692-A;;ALICANTE/ALACANT;TORREVIEJA;03181;CL TORREVEJENSES AUSENTES, 13, Es:1 Pl:01 Pt:C;;2025-10-10;3959717YH0035N0006WB;;N;114.0;4;N;1.0;2;2.0;2;3.0;2025;10
CV-VUT0518693-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL AVELLANEDA, 2, Bloque:1 Es:1 Pl:01 Pt:01;;2025-10-10;4683701YH0048S0075XH;;N;54.0;3;N;1.0;2;1.0;1;2.0;2025;10
CV-VUT0518694-A;;ALICANTE/ALACANT;TORREVIEJA;03183;CL GABRIELA MISTRA, 15, Es:1 Pl:01 Pt:0C;;2025-10-11;5471304YH0057S0010HW;;N;39.0;3;N;1.0;2;1.0;1;2.0;2025;10
CV-VUT0517351-A;;ALICANTE/ALACANT;TORREVIEJA;03180;AV HOLANDA, 43, Es:1 Pl:00 Pt:08;;2025-06-23;5805403YH0150N0131WD;;N;64.0;4;N;2.0;4;0.0;0;2.0;2025;6
CV-VUT0517361-A;Sunny Suite La Mata;ALICANTE/ALACANT;TORREVIEJA;03180;AV SUIZA, 55, Es:4 Pl:01 Pt:D3;;2025-06-24;5807105YH0150N0256JS;;N;72.0;4;N;2.0;4;0.0;0;2.0;2025;6
CV-VUT0517389-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL SAN PASCUAL, 235, Es:3 Pl:01 Pt:01;;2025-06-25;4164601YH0046S0170FE;;N;60.0;4;N;2.0;4;0.0;0;2.0;2025;6
CV-VUT0517402-A;;ALICANTE/ALACANT;TORREVIEJA;03182;CL LOMA LA, 44, Es:1 Pl:01 Pt:32;;2025-06-26;4364301YH0046S0034TX;;N;57.0;5;N;2.0;4;1.0;1;3.0;2025;6
CV-VUT0518358-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL PIO BAROJA, 20, Es:T Pl:OD Pt:OS;;2025-09-06;2770324YH0027S0001XU;;N;215.0;6;N;3.0;6;0.0;0;3.0;2025;9
CV-VUT0517309-A;;ALICANTE/ALACANT;TORREVIEJA;03188;CL NUESTRA SRA ROSARIO-MATA, 12, Es:1 Pl:03 Pt:H;;2025-06-20;6116301YH0161N0062HU;;N;94.0;6;N;3.0;6;0.0;0;3.0;2025;6
CV-VUT0517314-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL GUILLERMO MARCONI, 5, Es:D Pl:01 Pt:G1;;2025-06-20;5769501YH0056N0239UY;;N;67.0;7;N;3.0;6;1.0;1;4.0;2025;6
CV-VUT0517785-A;;ALICANTE/ALACANT;TORREVIEJA;03185;CL ALMORADI, 7, Es:1 Pl:04 Pt:19;;2025-06-24;2149401YH0024N0208SU;;N;75.0;3;N;1.0;2;1.0;1;2.0;2025;6
CV-VUT0518081-A;CASA DAYRA;ALICANTE/ALACANT;TORREVIEJA;03182;CL PALANGRE DE, 17, Es:1 Pl:02 Pt:09;;2025-08-08;5165608YH0056N0039RM;;N;60.0;6;N;2.0;4;2.0;2;4.0;2025;8
CV-VUT0518147-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL FRANCISCO PIZARRO, 11K, Es:1 Pl:05 Pt:C;;2025-08-13;1739405YH0013N0027TH;;N;67.0;3;N;1.0;2;1.0;1;2.0;2025;8
CV-VUT0518226-A;;ALICANTE/ALACANT;TORREVIEJA;03185;UR CALA DORADA, 1, Es:3 Pl:02 Pt:03;;2025-08-25;1126102YH0012N0054TJ;3,05E+12;N;51.0;5;N;0.0;0;5.0;5;5.0;2025;8
CV-VUT0518231-A;;ALICANTE/ALACANT;TORREVIEJA;03180;UR PUNTA PRIMA, 2A, Es:16 Pl:00 Pt:D;;2025-08-25;1423802YH0012S0476XU;;N;143.0;6;N;3.0;6;0.0;0;3.0;2025;8
CV-VUT0517470-A;;ALICANTE/ALACANT;TORREVIEJA;03182;CL SAN PASCUAL, 235, Es:3 Pl:03 Pt:02;;2025-06-30;4164601YH0046S0207ZP;;N;61.0;4;N;2.0;4;0.0;0;2.0;2025;6
CV-VUT0517482-A;;ALICANTE/ALACANT;TORREVIEJA;03183;UR CASA PEINAO II, 6M, Es:14 Pl:00 Pt:99;;2025-07-01;5383701YH0058S0099IG;;N;66.0;4;N;2.0;4;0.0;0;2.0;2025;7
CV-VUT0517624-A;;ALICANTE/ALACANT;TORREVIEJA;03185;UR CEÑUELA LA II, 11B, Es:1 Pl:01 Pt:21;;2025-07-09;0629602YH0002N0022PD;;N;74.0;4;N;2.0;4;0.0;0;2.0;2025;7
CV-VUT0517647-A;PISO LESZEK;ALICANTE/ALACANT;TORREVIEJA;03182;CL ULPIANO, 62, Es:1 Pl:02 Pt:D;;2025-07-10;4359605YH0045N0019AA;;N;45.0;2;N;1.0;2;0.0;0;1.0;2025;7
CV-VUT0517766-A;;ALICANTE/ALACANT;TORREVIEJA;03180;AV TORREVIEJA BAL, 28, Es:T Pl:OD Pt:OS;;2025-07-17;0341414YH0004S0001UJ;;N;94.0;4;N;2.0;4;0.0;0;2.0;2025;7
CV-VUT0517137-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL VICENTE BLASCO IBAÑEZ, 152, Es:1 Pl:03 Pt:03;;2025-06-12;4763202YH0046S0045RU;;N;71.0;4;N;2.0;4;0.0;0;2.0;2025;6
CV-VUT0517632-A;;ALICANTE/ALACANT;TORREVIEJA;03183;UR AGUAS NUEVAS II-EL MOLINO, 1M, Es:1 Pl:00 Pt:75;;2025-07-09;5082901YH0058S0076KZ;;N;66.0;4;N;2.0;4;0.0;0;2.0;2025;7
CV-VUT0518102-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL BENIEL, 20, Es:F Pl:02 Pt:50;;2025-08-11;2558101YH0025N0284RU;;N;57.0;4;N;2.0;4;0.0;0;2.0;2025;8
CV-VUT0518403-A;Casa Leonardo;ALICANTE/ALACANT;TORREVIEJA;03180;UR ALTOS LOS, 18, Pl:00 Pt:40;;2025-09-10;0542101YH0004S0018MI;;N;93.0;6;N;3.0;6;0.0;0;3.0;2025;9
CV-VUT0518706-A;;ALICANTE/ALACANT;TORREVIEJA;03183;AV DIEGO RAMIREZ PASTOR, 270, Es:1 Pl:02 Pt:06;;2025-10-13;5066505YH0056N0023LP;;N;42.0;3;N;1.0;2;1.0;1;2.0;2025;10
