Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Periodo;Total
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2025M11;2,97
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2025M05;4,01
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2024M11;4,19
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2024M08;4,41
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2024M02;3,63
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2023M08;3,73
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2023M02;3,06
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2022M08;3,01
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2022M02;2,78
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2021M08;2,84
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2021M02;2,92
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;2020M08;3,14
