Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas totales;122.736
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas vacías;30.546
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Mediana consumo anual;1.425
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con bajo consumo;14.988
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas de uso esporádico;23.513
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas de uso esporádico (entre 251 y 500 kwh);14.320
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas de uso esporádico (entre 501 y 750 kwh);9.193
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con consumo entre 751 y 1.000 kwh;6.596
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con consumo entre 1.001 y 2.000 kwh;17.552
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con consumo entre 2.001 y 3.000 kwh;11.742
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con consumo entre 3.001 y 4.000 kwh;7.653
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con consumo entre 4.001 y 5.000 kwh;4.422
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con consumo entre 5.001 y 6.000 kwh;2.428
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con consumo entre 6.001 y 7.000 kwh;1.246
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con consumo entre 7.001 y 8.000 kwh;719
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con consumo entre 8.001 y 9.000 kwh;393
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con consumo entre 9.001 y 10.000 kwh;242
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;03133 Torrevieja;Viviendas con consumo mayor de 10.000 kwh;696
