Playa;Fecha;E_Coli (UFC/100 mL);Enterococo (NMP/100 mL);Estado
PLAYA DE CALA MAR AZUL;2025-09-09;1.0;20.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-09-02;5.0;10.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-08-26;1.0;10.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-08-19;4.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-08-12;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-08-05;2.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-07-29;5.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-07-22;3.0;31.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-07-15;1.0;10.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-07-08;2.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-07-01;2.0;10.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-06-20;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-06-10;9.0;9.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2025-05-27;9.0;9.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-09-03;4.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-08-27;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-08-20;1.0;10.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-08-13;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-08-06;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-07-30;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-07-23;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-07-16;3.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-07-09;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-07-02;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-06-26;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-06-18;1.0;10.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-06-11;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-06-04;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2024-05-27;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-09-12;3.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-09-05;5.0;20.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-08-29;1.0;10.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-08-22;1.0;10.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-08-14;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-08-08;3.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-08-01;2.0;10.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-07-25;1.0;10.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-07-18;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-07-11;3.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-07-05;6.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-06-27;1.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-06-21;5.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-06-13;6.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-06-06;10.0;1.0;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;2023-05-18;5.0;1.0;Zona Apta para el baño
PLAYA DE LA MATA;2025-09-09;2.0;1.0;Zona Apta para el baño
PLAYA DE LA MATA;2025-09-02;1.0;1.0;Zona Apta para el baño
PLAYA DE LA MATA;2025-08-26;1.0;1.0;Zona Apta para el baño
PLAYA DE LA MATA;2025-08-19;3.0;1.0;Zona Apta para el baño
