Año;Trimestre;Año-Trimestre;I. CRIMINALIDAD CONVENCIONAL;1. Homicidios dolosos y asesinatos consumados;2. Homicidios dolosos y asesinatos en grado tentativa;3. Delitos graves y menos graves de lesiones y riña tumultuaria;4. Secuestro;5. Libertad sexual;5.1. Agresión sexual con penetración;5.2. Resto de delitos contra la libertad sexual;6. Robos con violencia e intimidación;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;7.1 Robos con fuerza en domicilios;8. Hurtos;9. Sustracción de vehículos;10. Tráfico de drogas;11. Resto de criminalidad convencional;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);12. Estafas informáticas;13. Otros ciberdelitos
2020;1;2020-1T;1387.0;2.0;0.0;21.0;0.0;14.0;2.0;12.0;44.0;216.0;179.0;314.0;27.0;15.0;734.0;;;
2020;2;2020-2T;1060.0;0.0;0.0;18.0;0.0;9.0;0.0;9.0;7.0;108.0;93.0;153.0;15.0;5.0;745.0;;;
2020;3;2020-3T;1938.0;0.0;2.0;30.0;1.0;13.0;2.0;11.0;40.0;229.0;192.0;513.0;27.0;7.0;1076.0;;;
2020;4;2020-4T;1261.0;1.0;1.0;15.0;0.0;11.0;3.0;8.0;34.0;126.0;96.0;269.0;17.0;11.0;776.0;;;
2021;1;2021-1T;1204.0;0.0;4.0;9.0;0.0;6.0;1.0;5.0;20.0;150.0;119.0;220.0;16.0;11.0;768.0;;;
2021;2;2021-2T;1443.0;1.0;1.0;18.0;0.0;19.0;3.0;16.0;17.0;162.0;124.0;312.0;16.0;14.0;883.0;;;
2021;3;2021-3T;2075.0;0.0;3.0;44.0;0.0;15.0;2.0;13.0;39.0;178.0;141.0;609.0;18.0;10.0;1159.0;;;
2021;4;2021-4T;1598.0;2.0;0.0;27.0;0.0;16.0;1.0;15.0;27.0;131.0;105.0;376.0;22.0;26.0;971.0;;;
2022;1;2022-1T;1480.0;0.0;0.0;17.0;0.0;15.0;4.0;11.0;29.0;123.0;103.0;345.0;23.0;10.0;918.0;78.0;59.0;19.0
2022;2;2022-2T;1803.0;0.0;1.0;26.0;0.0;18.0;4.0;14.0;34.0;171.0;154.0;543.0;22.0;8.0;980.0;93.0;79.0;14.0
2022;3;2022-3T;2375.0;0.0;0.0;43.0;1.0;28.0;9.0;19.0;51.0;191.0;169.0;765.0;25.0;19.0;1252.0;151.0;131.0;20.0
2022;4;2022-4T;1713.0;0.0;1.0;18.0;0.0;13.0;2.0;11.0;46.0;126.0;111.0;497.0;38.0;11.0;963.0;164.0;149.0;15.0
2023;1;2023-1T;1614.0;0.0;1.0;27.0;0.0;16.0;2.0;14.0;44.0;121.0;100.0;438.0;23.0;16.0;928.0;222.0;201.0;21.0
2023;2;2023-2T;1973.0;0.0;0.0;28.0;0.0;17.0;5.0;12.0;59.0;116.0;104.0;553.0;22.0;30.0;1148.0;186.0;171.0;15.0
2023;3;2023-3T;2512.0;1.0;1.0;45.0;1.0;23.0;7.0;16.0;53.0;139.0;120.0;893.0;29.0;26.0;1301.0;201.0;186.0;15.0
2023;4;2023-4T;1942.0;0.0;0.0;46.0;1.0;17.0;6.0;11.0;50.0;123.0;92.0;585.0;33.0;15.0;1072.0;173.0;156.0;17.0
2024;1;2024-1T;1921.0;1.0;1.0;36.0;0.0;16.0;4.0;12.0;53.0;136.0;111.0;510.0;30.0;18.0;1120.0;220.0;192.0;28.0
2024;2;2024-2T;1939.0;0.0;0.0;48.0;0.0;23.0;4.0;19.0;48.0;136.0;118.0;566.0;21.0;24.0;1073.0;210.0;176.0;34.0
2024;3;2024-3T;2562.0;0.0;0.0;61.0;1.0;29.0;9.0;20.0;109.0;169.0;150.0;953.0;30.0;24.0;1186.0;280.0;241.0;39.0
2024;4;2024-4T;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025;1;2025-1T;1893.0;0.0;1.0;32.0;0.0;22.0;3.0;19.0;55.0;142.0;132.0;519.0;25.0;26.0;1071.0;208.0;176.0;32.0
2025;2;2025-2T;2451.0;0.0;1.0;35.0;0.0;22.0;8.0;14.0;98.0;171.0;146.0;818.0;26.0;27.0;1253.0;267.0;230.0;37.0
2025;3;2025-3T;2778.0;1.0;1.0;41.0;0.0;23.0;8.0;15.0;98.0;196.0;165.0;1010.0;24.0;25.0;1359.0;273.0;249.0;24.0
2025;4;2025-4T;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
