Año y trimestre;Gastos corrientes en bienes y servicios;Gastos en inversiones;Tasas, precios públicos y otros ingresos;Año;Trimestre;gastos_bienes_servicios;gastos_inversiones;ingresos;gastos_totales;Proporcion_recuperada
2022-1T;7059422.5;3210315.63;1426569.37;2022;1;7059422.5;3210315.63;1426569.37;10269738.129999999;13.891000451439947
2022-2T;19181233.12;5982982.75;5846939.75;2022;2;12121810.620000001;2772667.12;4420370.38;14894477.740000002;29.67791457453277
2022-3T;31854821.35;6591456.0;7084401.26;2022;3;12673588.23;608473.25;1237461.5099999998;13282061.48;9.316787999087019
2022-4T;63309008.11;12029399.65;12992689.81;2022;4;31454186.759999998;5437943.65;5908288.550000001;36892130.41;16.01503758210314
2023-1T;5482259.22;1102313.34;3187406.46;2023;1;5482259.22;1102313.34;3187406.46;6584572.56;48.4071886360988
2023-2T;25327364.71;3238684.1;7106110.59;2023;2;19845105.490000002;2136370.76;3918704.13;21981476.250000004;17.827301885604697
2023-3T;43756926.7;4392186.82;8604559.6;2023;3;18429561.990000002;1153502.7200000002;1498449.0099999998;19583064.71;7.651759477845283
2023-4T;71796651.83;11217567.06;14383794.0;2023;4;28039725.129999995;6825380.24;5779234.4;34865105.37;16.575984322057423
2024-1T;12000447.09;385455.19;2564571.24;2024;1;12000447.09;385455.19;2564571.24;12385902.28;20.705566554817032
2024-2T;22495424.51;8842158.37;8317313.76;2024;2;10494977.420000002;8456703.18;5752742.52;18951680.599999998;30.354788271389506
2024-3T;32372076.63;13388945.45;11100940.06;2024;3;9876652.119999997;4546787.08;2783626.3000000007;14423439.199999997;19.299324255479934
2024-4T;67786682.49;25732102.51;16567712.85;2024;4;35414605.86;12343157.060000002;5466772.789999999;47757762.92;11.446877859747119
2025-1T;13797290.5;230070.01;3567408.63;2025;1;13797290.5;230070.01;3567408.63;14027360.51;25.43178830726437
2025-2T;33201482.21;3693889.17;11709161.72;2025;2;19404191.71;3463819.16;8141753.090000001;22868010.87;35.603241297567216
2025-3T;50290641.76;10803807.16;15699544.98;2025;3;17089159.549999997;7109917.99;3990383.26;24199077.54;16.489815586582065
2025-4T;73665089.16;20302161.98;26008361.84;2025;4;23374447.4;9498354.82;10308816.86;32872802.219999995;31.359714304270835
