Playa;Fecha;E_Coli;Enterococo;Estado
PLAYA DE CALA MAR AZUL;09/09/2025;1 UFC/100 mL;20 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;02/09/2025;5 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;26/08/2025;1 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;19/08/2025;4 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;12/08/2025;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;05/08/2025;2 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;29/07/2025;5 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;22/07/2025;3 UFC/100 mL;31 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;15/07/2025;1 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;08/07/2025;2 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;01/07/2025;2 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;20/06/2025;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;10/06/2025;9 UFC/100 mL;9 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;27/05/2025;9 UFC/100 mL;9 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;03/09/2024;4 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;27/08/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;20/08/2024;1 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;13/08/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;06/08/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;30/07/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;23/07/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;16/07/2024;3 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;09/07/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;02/07/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;26/06/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;18/06/2024;1 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;11/06/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;04/06/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;27/05/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;12/09/2023;3 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;05/09/2023;5 UFC/100 mL;20 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;29/08/2023;1 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;22/08/2023;1 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;14/08/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;08/08/2023;3 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;01/08/2023;2 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;25/07/2023;1 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;18/07/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;11/07/2023;3 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;05/07/2023;6 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;27/06/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;21/06/2023;5 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;13/06/2023;6 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;06/06/2023;10 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE CALA MAR AZUL;18/05/2023;5 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE LA MATA;09/09/2025;2 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
PLAYA DE LA MATA;02/09/2025;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
